奖励的ID	赛季	奖励1名次	奖励1类型	奖励1ID	奖励1数量	奖励2名次	奖励2类型	奖励2ID	奖励2数量	奖励3名次	奖励3类型	奖励3ID	奖励3数量	奖励4名次	奖励4类型	奖励4ID	奖励4数量	奖励5名次	奖励5类型	奖励5ID	奖励5数量	奖励6名次	奖励6类型	奖励6ID	奖励6数量	奖励7名次	奖励7类型	奖励7ID	奖励7数量	奖励8名次	奖励8类型	奖励8ID	奖励8数量
134	134	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
135	135	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
136	136	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
137	137	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
138	138	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
139	139	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	54102	10	51:100;	1	54102	5
140	140	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	51006	10	51:100;	1	51006	5
141	141	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	54102	10	51:100;	1	54102	5
142	142	1:1;	1	53002	30	2:2;	1	53002	25	3:3;	1	53002	20	4:5;	1	53002	15	6:10;	1	53002	12	11:20;	1	53002	10	21:50;	1	51006	10	51:100;	1	51006	5
143	143	1:1;	1	54002	30	2:2;	1	54002	25	3:3;	1	54002	20	4:5;	1	54002	15	6:10;	1	54002	12	11:20;	1	54002	10	21:50;	1	54102	10	51:100;	1	54102	5
144	144	1:1;	1	52205	30	2:2;	1	52205	25	3:3;	1	52205	20	4:5;	1	52205	15	6:10;	1	52205	12	11:20;	1	52205	10	21:50;	1	51006	10	51:100;	1	51006	5
