唯一ID	类型	物品ID	数量	产出时间	概率	货币影响	保底权重	全十保底	性格材料标准	性格材料标准区间	递减值	产出地点编号	产出地点提示	产出名言
100	1	30000001	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
101	1	30000002	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
102	1	30000003	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
103	1	30000004	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
104	1	30000005	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
105	1	30000006	60	30	0	0	200	200	30000001:5;30000002:5;30000003:5;30000004:5;30000005:10;30000006:10;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	用这些道具重新招募吧。
106	2	21102	1	30	0	0	285.8	627.9	30000001:6;30000002:6;30000003:3;30000004:8;30000005:2;30000006:3;	30000001:8:4;30000002:8:4;30000003:5:1;30000004:10:6;30000005:4:1;30000006:5:1;	0	4	落日原野	轮到我了。
107	2	21202	1	60	0	0	285.7	627.9	30000001:6;30000002:7;30000003:3;30000004:2;30000005:5;30000006:1;	30000001:8:4;30000002:9:5;30000003:5:1;30000004:4:1;30000005:7:3;30000006:3:1;	0	5	游魂墓地	看准机会就出手。
108	2	21302	1	75	0	0	285.7	627.9	30000001:8;30000002:3;30000003:10;30000004:7;30000005:2;30000006:1;	30000001:10:6;30000002:5:1;30000003:10:8;30000004:9:5;30000005:4:1;30000006:3:1;	0	5	游魂墓地	老子非把你打成包子不成。
109	2	21303	1	75	0	0	285.7	627.84	30000001:9;30000002:2;30000003:3;30000004:8;30000005:2;30000006:4;	30000001:10:7;30000002:4:1;30000003:5:1;30000004:10:6;30000005:4:1;30000006:6:2;	0	7	冷寂之窟	怕了吧。
110	2	22004	1	30	0	0	285.7	627.8	30000001:8;30000002:3;30000003:7;30000004:8;30000005:2;30000006:2;	30000001:10:6;30000002:5:1;30000003:9:5;30000004:10:6;30000005:4:1;30000006:4:1;	0	7	冷寂之窟	就是看你不顺眼。
111	2	22103	1	45	0	0	285.7	627.8	30000001:8;30000002:1;30000003:3;30000004:6;30000005:2;30000006:1;	30000001:10:6;30000002:3:1;30000003:5:1;30000004:8:4;30000005:4:1;30000006:3:1;	0	7	冷寂之窟	让你知道我的厉害！
112	2	24004	1	45	0	0	285.7	627.8	30000001:9;30000002:2;30000003:1;30000004:8;30000005:1;30000006:5;	30000001:10:7;30000002:4:1;30000003:3:1;30000004:10:6;30000005:3:1;30000006:7:3;	0	5	游魂墓地	听说你蛮厉害的嘛？来，切磋一下。
113	1	71000001	50	40	0	0	2000	100	30000001:5;30000002:5;30000003:5;30000004:5;30000005:5;30000006:5;	30000001:10:3;30000002:10:3;30000003:10:3;30000004:10:3;30000005:10:3;30000006:10:3;	0	1	远古遗迹	技能升级道具，使用后可使技能获得提升。
114	2	51005	10	45	0	2:-0.00001;3:-0.00002;4:-0.00003;5:-0.00004;6:-0.00005;7:-0.00006;8:-0.00007;9:-0.00008;10:-0.0001			30000001:10;30000002:10;30000003:5;30000004:10;30000005:4;30000006:6;	30000001:10:9;30000002:10:9;30000003:6:4;30000004:10:9;30000005:8:6;30000006:7:5;	0	11	悬空城堡	我什么也不想说。
