技能id	技能动画名 	备注	碰撞框1系数（百分比）	碰撞框2系数（百分比）	碰撞框3系数（百分比）	碰撞框4系数（百分比）	碰撞框5系数（百分比）
397	card_021_skill2	哈里斯技能2	100	100	0	0	0
398	card_021_skill2_ci	哈里斯技能2	80	80	80	80	100
399	card_021_skill2_lun	哈里斯技能2	50	0	0	0	0
400	card_021_skill3	哈里斯技能3	100	0	0	0	0
401	card_021_skill3_baozha	哈里斯技能3	35	35	35	35	35
402	card_021_skill3_bing	哈里斯技能3	100	0	0	0	0
403	card_022_atk1_texiao	欲盖弥彰手枪特效	5	0	0	0	0
404	card_022_atk1_texiao1	欲盖弥彰手枪特效	5	0	0	0	0
405	card_022_atk1_zidan	欲盖弥彰普攻子弹	60	0	0	0	0
406	card_022_atk1_zidan1	欲盖弥彰普攻子弹	75	0	0	0	0
407	card_022_skill1	欲盖弥彰技能1	100	0	0	0	0
408	card_022_skill1_huixuanti	欲盖弥彰技能1回旋踢	55	0	0	0	0
409	card_022_skill1_texiao	欲盖弥彰技能1特效	5	0	0	0	0
410	card_022_skill1_zidan	欲盖弥彰技能1子弹	50	0	0	0	0
411	card_022_skill2_huixuanti	欲盖弥彰技能2回旋踢	55	0	0	0	0
412	card_022_skill2_zidan	欲盖弥彰技能2子弹	60	0	0	0	0
413	card_022_skill3_qiangkou	欲盖弥彰技能3枪口特效	15	0	0	0	0
414	card_022_skill3_zidan	欲盖弥彰技能3子弹	50	0	0	0	0
415	role_mdxz_atk_zidan1	魔道学者小星星	65	0	0	0	0
416	role_mdxz_atk_zidan1_1	魔道学者小星星	65	0	0	0	0
417	role_mdxz_atk_zidan1_2	魔道学者小星星	65	0	0	0	0
418	role_mdxz_atk_zidan2	魔道学者大星星	100	5	0	0	0
419	role_mdxz_atk_zidan2_1	魔道学者大星星	100	5	0	0	0
420	role_mdxz_atk_zidan2_2	魔道学者大星星	100	5	0	0	0
421	role_mdxz_skill1_hou_1	魔道学者冰环	100	150	0	0	0
422	role_mdxz_skill1_hou_2	魔道学者冰环	120	150	0	0	0
423	role_mdxz_skill1_hou_3	魔道学者冰环	150	180	0	0	0
424	role_mdxz_skill2	魔道学者抓取	0	350	0	0	0
425	role_mdxz_skill2_zhuaqu	魔道学者抓取	350	0	0	0	0
426	role_mdxz_skill3_dian_1	魔道学者电塔	80	0	0	0	0
427	role_mdxz_skill3_dian_2	魔道学者电塔	80	0	0	0	0
428	role_mdxz_skill3_dian_3	魔道学者电塔	80	0	0	0	0
429	role_mdxz_skill3_dian_4	魔道学者电塔	80	0	0	0	0
430	role_mdxz_skill3_dian_5	魔道学者电塔	80	0	0	0	0
431	role_mdxz_skill3_dian_6	魔道学者电塔	80	0	0	0	0
432	role_mdxz_skill3_ta_end	魔道学者电塔爆炸	100	0	0	0	0
433	role_mdxz_skill4_yunshi	魔道学者酸雨	25	0	0	0	0
434	role_mdxz_skill6_car	魔道学者车	50	0	0	0	0
435	role_mdxz_skill6_car_end	魔道学者车	50	0	0	0	0
436	role_mdxz_atk1	魔道学者挥手和锤子	5	250	0	0	0
437	role_mdxz_atk2	魔道学者挥手	5	0	0	0	0
438	role_mdxz_atk3	魔道学者挥手	5	0	0	0	0
439	role_mdxz_atk4	魔道学者挥手	20	0	0	0	0
440	role_mdxz_atk1_Ai	魔道学者挥手	5	0	0	0	0
441	role_mdxz_atk2_Ai	魔道学者挥手	5	0	0	0	0
442	role_mdxz_atk3_Ai	魔道学者挥手	5	0	0	0	0
443	role_mdxz_atk4_Ai	魔道学者挥手	20	0	0	0	0
