表ID	类型	怪物强度	层数	怪物群	刷新时间	掉落数量	浮动比例	场景资源	生命增幅	怪物数量
440	5	噩梦	80	501501;501502;501503	10	1600	1000	0	0	5
441	5	噩梦	81	501501;501502;501503	10	1600	1000	0	0	5
442	5	噩梦	82	501501;501502;501503	10	1600	1000	0	0	5
443	5	噩梦	83	501501;501502;501503	10	1600	1000	0	0	5
444	5	噩梦	84	501501;501502;501503	10	1600	1000	0	0	5
445	5	噩梦	85	501501;501502;501503	10	1600	1000	0	0	5
446	5	噩梦	86	501501;501502;501503	10	1600	1000	0	0	5
447	5	噩梦	87	501501;501502;501503	10	1600	1000	0	0	5
448	5	噩梦	88	501501;501502;501503	10	1600	1000	0	0	5
449	5	噩梦	89	501501;501502;501503	10	1600	1000	0	0	5
450	5	噩梦	90	501501;501502;501503	10	1600	1000	0	0	5
451	6	地狱	1	501601;501602;501603	10	3200	1000	0	0	5
452	6	地狱	2	501601;501602;501603	10	3200	1000	0	0	5
453	6	地狱	3	501601;501602;501603	10	3200	1000	0	0	5
454	6	地狱	4	501601;501602;501603	10	3200	1000	0	0	5
455	6	地狱	5	501601;501602;501603	10	3200	1000	0	0	5
456	6	地狱	6	501601;501602;501603	10	3200	1000	0	0	5
457	6	地狱	7	501601;501602;501603	10	3200	1000	0	0	5
458	6	地狱	8	501601;501602;501603	10	3200	1000	0	0	5
459	6	地狱	9	501601;501602;501603	10	3200	1000	0	0	5
460	6	地狱	10	501601;501602;501603	10	3200	1000	0	0	5
461	6	地狱	11	501601;501602;501603	10	3200	1000	0	0	5
462	6	地狱	12	501601;501602;501603	10	3200	1000	0	0	5
463	6	地狱	13	501601;501602;501603	10	3200	1000	0	0	5
464	6	地狱	14	501601;501602;501603	10	3200	1000	0	0	5
465	6	地狱	15	501601;501602;501603	10	3200	1000	0	0	5
466	6	地狱	16	501601;501602;501603	10	3200	1000	0	0	5
467	6	地狱	17	501601;501602;501603	10	3200	1000	0	0	5
468	6	地狱	18	501601;501602;501603	10	3200	1000	0	0	5
469	6	地狱	19	501601;501602;501603	10	3200	1000	0	0	5
470	6	地狱	20	501601;501602;501603	10	3200	1000	0	0	5
471	6	地狱	21	501601;501602;501603	10	3200	1000	0	0	5
472	6	地狱	22	501601;501602;501603	10	3200	1000	0	0	5
473	6	地狱	23	501601;501602;501603	10	3200	1000	0	0	5
474	6	地狱	24	501601;501602;501603	10	3200	1000	0	0	5
475	6	地狱	25	501601;501602;501603	10	3200	1000	0	0	5
476	6	地狱	26	501601;501602;501603	10	3200	1000	0	0	5
477	6	地狱	27	501601;501602;501603	10	3200	1000	0	0	5
478	6	地狱	28	501601;501602;501603	10	3200	1000	0	0	5
479	6	地狱	29	501601;501602;501603	10	3200	1000	0	0	5
480	6	地狱	30	501601;501602;501603	10	3200	1000	0	0	5
481	6	地狱	31	501601;501602;501603	10	3200	1000	0	0	5
482	6	地狱	32	501601;501602;501603	10	3200	1000	0	0	5
483	6	地狱	33	501601;501602;501603	10	3200	1000	0	0	5
484	6	地狱	34	501601;501602;501603	10	3200	1000	0	0	5
485	6	地狱	35	501601;501602;501603	10	3200	1000	0	0	5
486	6	地狱	36	501601;501602;501603	10	3200	1000	0	0	5
487	6	地狱	37	501601;501602;501603	10	3200	1000	0	0	5
488	6	地狱	38	501601;501602;501603	10	3200	1000	0	0	5
489	6	地狱	39	501601;501602;501603	10	3200	1000	0	0	5
490	6	地狱	40	501601;501602;501603	10	3200	1000	0	0	5
491	6	地狱	41	501601;501602;501603	10	3200	1000	0	0	5
492	6	地狱	42	501601;501602;501603	10	3200	1000	0	0	5
493	6	地狱	43	501601;501602;501603	10	3200	1000	0	0	5
494	6	地狱	44	501601;501602;501603	10	3200	1000	0	0	5
495	6	地狱	45	501601;501602;501603	10	3200	1000	0	0	5
496	6	地狱	46	501601;501602;501603	10	3200	1000	0	0	5
497	6	地狱	47	501601;501602;501603	10	3200	1000	0	0	5
498	6	地狱	48	501601;501602;501603	10	3200	1000	0	0	5
499	6	地狱	49	501601;501602;501603	10	3200	1000	0	0	5
500	6	地狱	50	501601;501602;501603	10	3200	1000	0	0	5
501	6	地狱	51	501601;501602;501603	10	3200	1000	0	0	5
502	6	地狱	52	501601;501602;501603	10	3200	1000	0	0	5
503	6	地狱	53	501601;501602;501603	10	3200	1000	0	0	5
504	6	地狱	54	501601;501602;501603	10	3200	1000	0	0	5
505	6	地狱	55	501601;501602;501603	10	3200	1000	0	0	5
506	6	地狱	56	501601;501602;501603	10	3200	1000	0	0	5
507	6	地狱	57	501601;501602;501603	10	3200	1000	0	0	5
508	6	地狱	58	501601;501602;501603	10	3200	1000	0	0	5
509	6	地狱	59	501601;501602;501603	10	3200	1000	0	0	5
510	6	地狱	60	501601;501602;501603	10	3200	1000	0	0	5
511	6	地狱	61	501601;501602;501603	10	3200	1000	0	0	5
512	6	地狱	62	501601;501602;501603	10	3200	1000	0	0	5
513	6	地狱	63	501601;501602;501603	10	3200	1000	0	0	5
514	6	地狱	64	501601;501602;501603	10	3200	1000	0	0	5
515	6	地狱	65	501601;501602;501603	10	3200	1000	0	0	5
516	6	地狱	66	501601;501602;501603	10	3200	1000	0	0	5
517	6	地狱	67	501601;501602;501603	10	3200	1000	0	0	5
518	6	地狱	68	501601;501602;501603	10	3200	1000	0	0	5
519	6	地狱	69	501601;501602;501603	10	3200	1000	0	0	5
520	6	地狱	70	501601;501602;501603	10	3200	1000	0	0	5
521	6	地狱	71	501601;501602;501603	10	3200	1000	0	0	5
522	6	地狱	72	501601;501602;501603	10	3200	1000	0	0	5
523	6	地狱	73	501601;501602;501603	10	3200	1000	0	0	5
524	6	地狱	74	501601;501602;501603	10	3200	1000	0	0	5
525	6	地狱	75	501601;501602;501603	10	3200	1000	0	0	5
526	6	地狱	76	501601;501602;501603	10	3200	1000	0	0	5
527	6	地狱	77	501601;501602;501603	10	3200	1000	0	0	5
528	6	地狱	78	501601;501602;501603	10	3200	1000	0	0	5
529	6	地狱	79	501601;501602;501603	10	3200	1000	0	0	5
530	6	地狱	80	501601;501602;501603	10	3200	1000	0	0	5
531	6	地狱	81	501601;501602;501603	10	3200	1000	0	0	5
532	6	地狱	82	501601;501602;501603	10	3200	1000	0	0	5
533	6	地狱	83	501601;501602;501603	10	3200	1000	0	0	5
534	6	地狱	84	501601;501602;501603	10	3200	1000	0	0	5
535	6	地狱	85	501601;501602;501603	10	3200	1000	0	0	5
536	6	地狱	86	501601;501602;501603	10	3200	1000	0	0	5
537	6	地狱	87	501601;501602;501603	10	3200	1000	0	0	5
538	6	地狱	88	501601;501602;501603	10	3200	1000	0	0	5
539	6	地狱	89	501601;501602;501603	10	3200	1000	0	0	5
540	6	地狱	90	501601;501602;501603	10	3200	1000	0	0	5
