表ID	职业	等级	生命值	法力值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	血球回复率	魔法回复率	经验	级别累计经验
30073	30	73	22995	200	2190	1095	0	1095	1095	1095	500	1314	0	1095	8000	1095	100	100	454260	5714250
30074	30	74	23310	200	2220	1110	0	1110	1110	1110	500	1332	0	1110	8000	1110	100	100	493420	6207670
30075	30	75	23625	200	2250	1125	0	1125	1125	1125	500	1350	0	1125	8000	1125	100	100	532580	6740250
30076	30	76	23940	200	2280	1140	0	1140	1140	1140	500	1368	0	1140	8000	1140	100	100	610900	7351150
30077	30	77	24255	200	2310	1155	0	1155	1155	1155	500	1386	0	1155	8000	1155	100	100	689220	8040370
30078	30	78	24570	200	2340	1170	0	1170	1170	1170	500	1404	0	1170	8000	1170	100	100	767540	8807910
30079	30	79	24885	200	2370	1185	0	1185	1185	1185	500	1422	0	1185	8000	1185	100	100	845860	9653770
30080	30	80	25200	200	2400	1200	0	1200	1200	1200	500	1440	0	1200	8000	1200	100	100	924180	10577950
30081	30	81	25515	200	2430	1215	0	1215	1215	1215	500	1458	0	1215	8000	1215	100	100	1080820	11658770
30082	30	82	25830	200	2460	1230	0	1230	1230	1230	500	1476	0	1230	8000	1230	100	100	1237460	12896230
30083	30	83	26145	200	2490	1245	0	1245	1245	1245	500	1494	0	1245	8000	1245	100	100	1394100	14290330
30084	30	84	26460	200	2520	1260	0	1260	1260	1260	500	1512	0	1260	8000	1260	100	100	1550740	15841070
30085	30	85	26775	200	2550	1275	0	1275	1275	1275	500	1530	0	1275	8000	1275	100	100	1707380	17548450
30086	30	86	27090	200	2580	1290	0	1290	1290	1290	500	1548	0	1290	8000	1290	100	100	1942340	19490790
30087	30	87	27405	200	2610	1305	0	1305	1305	1305	500	1566	0	1305	8000	1305	100	100	2177300	21668090
30088	30	88	27720	200	2640	1320	0	1320	1320	1320	500	1584	0	1320	8000	1320	100	100	2412260	24080350
30089	30	89	28035	200	2670	1335	0	1335	1335	1335	500	1602	0	1335	8000	1335	100	100	2647220	26727570
30090	30	90	28350	200	2700	1350	0	1350	1350	1350	500	1620	0	1350	8000	1350	100	100	2882180	29609750
30091	30	91	28665	200	2730	1365	0	1365	1365	1365	500	1638	0	1365	8000	1365	100	100	3273780	32883530
30092	30	92	28980	200	2760	1380	0	1380	1380	1380	500	1656	0	1380	8000	1380	100	100	3665380	36548910
30093	30	93	29295	200	2790	1395	0	1395	1395	1395	500	1674	0	1395	8000	1395	100	100	4056980	40605890
30094	30	94	29610	200	2820	1410	0	1410	1410	1410	500	1692	0	1410	8000	1410	100	100	4448580	45054470
30095	30	95	29925	200	2850	1425	0	1425	1425	1425	500	1710	0	1425	8000	1425	100	100	4840180	49894650
30096	30	96	30240	200	2880	1440	0	1440	1440	1440	500	1728	0	1440	8000	1440	100	100	5231780	55126430
30097	30	97	30555	200	2910	1455	0	1455	1455	1455	500	1746	0	1455	8000	1455	100	100	5623380	60749810
30098	30	98	30870	200	2940	1470	0	1470	1470	1470	500	1764	0	1470	8000	1470	100	100	6014980	66764790
30099	30	99	31185	200	2970	1485	0	1485	1485	1485	500	1782	0	1485	8000	1485	100	100	6406580	73171370
30100	30	100	31500	200	3000	1500	0	1500	1500	1500	500	1800	0	1500	8000	1500	100	100	6798180	79969550
43001	43	1	170	200	18	10	21	10	10	10	500	10	12	10	8000	10	100	100	230	230
43002	43	2	510	200	54	29	63	29	30	30	500	30	36	30	8000	30	100	100	310	540
43003	43	3	765	200	81	44	95	44	45	45	500	45	54	45	8000	45	100	100	390	930
43004	43	4	1020	200	108	59	126	59	60	60	500	60	72	60	8000	60	100	100	470	1400
43005	43	5	1275	200	135	74	158	74	75	75	500	75	90	75	8000	75	100	100	550	1950
43006	43	6	1530	200	162	88	189	88	90	90	500	90	108	90	8000	90	100	100	700	2650
43007	43	7	1785	200	189	103	221	103	105	105	500	105	126	105	8000	105	100	100	860	3510
43008	43	8	2040	200	216	118	252	118	120	120	500	120	144	120	8000	120	100	100	1020	4530
43009	43	9	2295	200	243	132	284	132	135	135	500	135	162	135	8000	135	100	100	1170	5700
43010	43	10	2550	200	270	147	315	147	150	150	500	150	180	150	8000	150	100	100	1330	7030
43011	43	11	2805	200	297	162	347	162	165	165	500	165	198	165	8000	165	100	100	1570	8600
43012	43	12	3060	200	324	176	378	176	180	180	500	180	216	180	8000	180	100	100	1800	10400
43013	43	13	3315	200	351	191	410	191	195	195	500	195	234	195	8000	195	100	100	2040	12440
43014	43	14	3570	200	378	206	441	206	210	210	500	210	252	210	8000	210	100	100	2270	14710
43015	43	15	3825	200	405	221	473	221	225	225	500	225	270	225	8000	225	100	100	2510	17220
43016	43	16	4080	200	432	235	504	235	240	240	500	240	288	240	8000	240	100	100	2740	19960
43017	43	17	4335	200	459	250	536	250	255	255	500	255	306	255	8000	255	100	100	2980	22940
43018	43	18	4590	200	486	265	567	265	270	270	500	270	324	270	8000	270	100	100	3210	26150
43019	43	19	4845	200	513	279	599	279	285	285	500	285	342	285	8000	285	100	100	3450	29600
43020	43	20	5100	200	540	294	630	294	300	300	500	300	360	300	8000	300	100	100	3680	33280
43021	43	21	5355	200	567	309	662	309	315	315	500	315	378	315	8000	315	100	100	3920	37200
43022	43	22	5610	200	594	323	693	323	330	330	500	330	396	330	8000	330	100	100	4150	41350
43023	43	23	5865	200	621	338	725	338	345	345	500	345	414	345	8000	345	100	100	4390	45740
43024	43	24	6120	200	648	353	756	353	360	360	500	360	432	360	8000	360	100	100	4620	50360
43025	43	25	6375	200	675	368	788	368	375	375	500	375	450	375	8000	375	100	100	4860	55220
43026	43	26	6630	200	702	382	819	382	390	390	500	390	468	390	8000	390	100	100	5090	60310
43027	43	27	6885	200	729	397	851	397	405	405	500	405	486	405	8000	405	100	100	5330	65640
43028	43	28	7140	200	756	412	882	412	420	420	500	420	504	420	8000	420	100	100	5560	71200
43029	43	29	7395	200	783	426	914	426	435	435	500	435	522	435	8000	435	100	100	5800	77000
43030	43	30	7650	200	810	441	945	441	450	450	500	450	540	450	8000	450	100	100	6030	83030
43031	43	31	7905	200	837	456	977	456	465	465	500	465	558	465	8000	465	100	100	7830	90860
43032	43	32	8160	200	864	470	1008	470	480	480	500	480	576	480	8000	480	100	100	11750	102610
43033	43	33	8415	200	891	485	1040	485	495	495	500	495	594	495	8000	495	100	100	15660	118270
43034	43	34	8670	200	918	500	1071	500	510	510	500	510	612	510	8000	510	100	100	19580	137850
43035	43	35	8925	200	945	515	1103	515	525	525	500	525	630	525	8000	525	100	100	23500	161350
43036	43	36	9180	200	972	529	1134	529	540	540	500	540	648	540	8000	540	100	100	27410	188760
43037	43	37	9435	200	999	544	1166	544	555	555	500	555	666	555	8000	555	100	100	31330	220090
43038	43	38	9690	200	1026	559	1197	559	570	570	500	570	684	570	8000	570	100	100	35240	255330
43039	43	39	9945	200	1053	573	1229	573	585	585	500	585	702	585	8000	585	100	100	39160	294490
43040	43	40	10200	200	1080	588	1260	588	600	600	500	600	720	600	8000	600	100	100	43080	337570
43041	43	41	10455	200	1107	603	1292	603	615	615	500	615	738	615	8000	615	100	100	46990	384560
43042	43	42	10710	200	1134	617	1323	617	630	630	500	630	756	630	8000	630	100	100	50910	435470
43043	43	43	10965	200	1161	632	1355	632	645	645	500	645	774	645	8000	645	100	100	54820	490290
43044	43	44	11220	200	1188	647	1386	647	660	660	500	660	792	660	8000	660	100	100	58740	549030
43045	43	45	11475	200	1215	662	1418	662	675	675	500	675	810	675	8000	675	100	100	62660	611690
43046	43	46	11730	200	1242	676	1449	676	690	690	500	690	828	690	8000	690	100	100	66570	678260
43047	43	47	11985	200	1269	691	1481	691	705	705	500	705	846	705	8000	705	100	100	70490	748750
43048	43	48	12240	200	1296	706	1512	706	720	720	500	720	864	720	8000	720	100	100	74400	823150
43049	43	49	12495	200	1323	720	1544	720	735	735	500	735	882	735	8000	735	100	100	78320	901470
43050	43	50	12750	200	1350	735	1575	735	750	750	500	750	900	750	8000	750	100	100	82240	983710
43051	43	51	13005	200	1377	750	1607	750	765	765	500	765	918	765	8000	765	100	100	86150	1069860
43052	43	52	13260	200	1404	764	1638	764	780	780	500	780	936	780	8000	780	100	100	90070	1159930
43053	43	53	13515	200	1431	779	1670	779	795	795	500	795	954	795	8000	795	100	100	93980	1253910
43054	43	54	13770	200	1458	794	1701	794	810	810	500	810	972	810	8000	810	100	100	97900	1351810
43055	43	55	14025	200	1485	809	1733	809	825	825	500	825	990	825	8000	825	100	100	101820	1453630
43056	43	56	14280	200	1512	823	1764	823	840	840	500	840	1008	840	8000	840	100	100	109650	1563280
43057	43	57	14535	200	1539	838	1796	838	855	855	500	855	1026	855	8000	855	100	100	117480	1680760
43058	43	58	14790	200	1566	853	1827	853	870	870	500	870	1044	870	8000	870	100	100	125310	1806070
43059	43	59	15045	200	1593	867	1859	867	885	885	500	885	1062	885	8000	885	100	100	133140	1939210
43060	43	60	15300	200	1620	882	1890	882	900	900	500	900	1080	900	8000	900	100	100	140980	2080190
43061	43	61	15555	200	1647	897	1922	897	915	915	500	915	1098	915	8000	915	100	100	156640	2236830
43062	43	62	15810	200	1674	911	1953	911	930	930	500	930	1116	930	8000	930	100	100	172300	2409130
43063	43	63	16065	200	1701	926	1985	926	945	945	500	945	1134	945	8000	945	100	100	187970	2597100
43064	43	64	16320	200	1728	941	2016	941	960	960	500	960	1152	960	8000	960	100	100	203630	2800730
43065	43	65	16575	200	1755	956	2048	956	975	975	500	975	1170	975	8000	975	100	100	219300	3020030
43066	43	66	16830	200	1782	970	2079	970	990	990	500	990	1188	990	8000	990	100	100	242790	3262820
43067	43	67	17085	200	1809	985	2111	985	1005	1005	500	1005	1206	1005	8000	1005	100	100	266290	3529110
43068	43	68	17340	200	1836	1000	2142	1000	1020	1020	500	1020	1224	1020	8000	1020	100	100	289780	3818890
43069	43	69	17595	200	1863	1014	2174	1014	1035	1035	500	1035	1242	1035	8000	1035	100	100	313280	4132170
43070	43	70	17850	200	1890	1029	2205	1029	1050	1050	500	1050	1260	1050	8000	1050	100	100	336780	4468950
43071	43	71	18105	200	1917	1044	2237	1044	1065	1065	500	1065	1278	1065	8000	1065	100	100	375940	4844890
43072	43	72	18360	200	1944	1058	2268	1058	1080	1080	500	1080	1296	1080	8000	1080	100	100	415100	5259990
43073	43	73	18615	200	1971	1073	2300	1073	1095	1095	500	1095	1314	1095	8000	1095	100	100	454260	5714250
43074	43	74	18870	200	1998	1088	2331	1088	1110	1110	500	1110	1332	1110	8000	1110	100	100	493420	6207670
43075	43	75	19125	200	2025	1103	2363	1103	1125	1125	500	1125	1350	1125	8000	1125	100	100	532580	6740250
43076	43	76	19380	200	2052	1117	2394	1117	1140	1140	500	1140	1368	1140	8000	1140	100	100	610900	7351150
43077	43	77	19635	200	2079	1132	2426	1132	1155	1155	500	1155	1386	1155	8000	1155	100	100	689220	8040370
43078	43	78	19890	200	2106	1147	2457	1147	1170	1170	500	1170	1404	1170	8000	1170	100	100	767540	8807910
43079	43	79	20145	200	2133	1161	2489	1161	1185	1185	500	1185	1422	1185	8000	1185	100	100	845860	9653770
43080	43	80	20400	200	2160	1176	2520	1176	1200	1200	500	1200	1440	1200	8000	1200	100	100	924180	10577950
43081	43	81	20655	200	2187	1191	2552	1191	1215	1215	500	1215	1458	1215	8000	1215	100	100	1080820	11658770
43082	43	82	20910	200	2214	1205	2583	1205	1230	1230	500	1230	1476	1230	8000	1230	100	100	1237460	12896230
43083	43	83	21165	200	2241	1220	2615	1220	1245	1245	500	1245	1494	1245	8000	1245	100	100	1394100	14290330
43084	43	84	21420	200	2268	1235	2646	1235	1260	1260	500	1260	1512	1260	8000	1260	100	100	1550740	15841070
43085	43	85	21675	200	2295	1250	2678	1250	1275	1275	500	1275	1530	1275	8000	1275	100	100	1707380	17548450
43086	43	86	21930	200	2322	1264	2709	1264	1290	1290	500	1290	1548	1290	8000	1290	100	100	1942340	19490790
43087	43	87	22185	200	2349	1279	2741	1279	1305	1305	500	1305	1566	1305	8000	1305	100	100	2177300	21668090
43088	43	88	22440	200	2376	1294	2772	1294	1320	1320	500	1320	1584	1320	8000	1320	100	100	2412260	24080350
43089	43	89	22695	200	2403	1308	2804	1308	1335	1335	500	1335	1602	1335	8000	1335	100	100	2647220	26727570
43090	43	90	22950	200	2430	1323	2835	1323	1350	1350	500	1350	1620	1350	8000	1350	100	100	2882180	29609750
43091	43	91	23205	200	2457	1338	2867	1338	1365	1365	500	1365	1638	1365	8000	1365	100	100	3273780	32883530
43092	43	92	23460	200	2484	1352	2898	1352	1380	1380	500	1380	1656	1380	8000	1380	100	100	3665380	36548910
43093	43	93	23715	200	2511	1367	2930	1367	1395	1395	500	1395	1674	1395	8000	1395	100	100	4056980	40605890
43094	43	94	23970	200	2538	1382	2961	1382	1410	1410	500	1410	1692	1410	8000	1410	100	100	4448580	45054470
43095	43	95	24225	200	2565	1397	2993	1397	1425	1425	500	1425	1710	1425	8000	1425	100	100	4840180	49894650
43096	43	96	24480	200	2592	1411	3024	1411	1440	1440	500	1440	1728	1440	8000	1440	100	100	5231780	55126430
43097	43	97	24735	200	2619	1426	3056	1426	1455	1455	500	1455	1746	1455	8000	1455	100	100	5623380	60749810
43098	43	98	24990	200	2646	1441	3087	1441	1470	1470	500	1470	1764	1470	8000	1470	100	100	6014980	66764790
43099	43	99	25245	200	2673	1455	3119	1455	1485	1485	500	1485	1782	1485	8000	1485	100	100	6406580	73171370
43100	43	100	25500	200	2700	1470	3150	1470	1500	1500	500	1500	1800	1500	8000	1500	100	100	6798180	79969550
