兑换码批次id	兑换码类型	兑换码数据	礼包组	使用等级上限	使用日期区间	数量
30300523	1		30007:2	100	2016/08/03:2026/08/31	1
30300524	1		30007:2	100	2016/08/03:2026/08/31	1
30300525	1		30007:2	100	2016/08/03:2026/08/31	1
30300526	1		30007:2	100	2016/08/03:2026/08/31	1
30300527	1		30007:2	100	2016/08/03:2026/08/31	1
30300528	1		30007:2	100	2016/08/03:2026/08/31	1
30300529	1		30007:2	100	2016/08/03:2026/08/31	1
30300530	1		30007:2	100	2016/08/03:2026/08/31	1
30300531	1		30007:2	100	2016/08/03:2026/08/31	1
30300532	1		30007:2	100	2016/08/03:2026/08/31	1
30300533	1		30007:2	100	2016/08/03:2026/08/31	1
30300534	1		30007:2	100	2016/08/03:2026/08/31	1
30300535	1		30007:2	100	2016/08/03:2026/08/31	1
30300536	1		30007:2	100	2016/08/03:2026/08/31	1
30300537	1		30007:2	100	2016/08/03:2026/08/31	1
30300538	1		30007:2	100	2016/08/03:2026/08/31	1
30300539	1		30007:2	100	2016/08/03:2026/08/31	1
30300540	1		30007:2	100	2016/08/03:2026/08/31	1
30300541	1		30007:2	100	2016/08/03:2026/08/31	1
30300542	1		30007:2	100	2016/08/03:2026/08/31	1
30300543	1		30007:2	100	2016/08/03:2026/08/31	1
30300544	1		30007:2	100	2016/08/03:2026/08/31	1
30300545	1		30007:2	100	2016/08/03:2026/08/31	1
30300546	1		30007:2	100	2016/08/03:2026/08/31	1
30300547	1		30007:2	100	2016/08/03:2026/08/31	1
30300548	1		30007:2	100	2016/08/03:2026/08/31	1
30300549	1		30007:2	100	2016/08/03:2026/08/31	1
30300550	1		30007:2	100	2016/08/03:2026/08/31	1
30300551	1		30007:2	100	2016/08/03:2026/08/31	1
30300552	1		30007:2	100	2016/08/03:2026/08/31	1
30300553	1		30007:2	100	2016/08/03:2026/08/31	1
30300554	1		30007:2	100	2016/08/03:2026/08/31	1
30300555	1		30007:2	100	2016/08/03:2026/08/31	1
30300556	1		30007:2	100	2016/08/03:2026/08/31	1
30300557	1		30007:2	100	2016/08/03:2026/08/31	1
30300558	1		30007:2	100	2016/08/03:2026/08/31	1
30300559	1		30007:2	100	2016/08/03:2026/08/31	1
30300560	1		30007:2	100	2016/08/03:2026/08/31	1
30300561	1		30007:2	100	2016/08/03:2026/08/31	1
30300562	1		30007:2	100	2016/08/03:2026/08/31	1
30300563	1		30007:2	100	2016/08/03:2026/08/31	1
30300564	1		30007:2	100	2016/08/03:2026/08/31	1
30300565	1		30007:2	100	2016/08/03:2026/08/31	1
30300566	1		30007:2	100	2016/08/03:2026/08/31	1
30300567	1		30007:2	100	2016/08/03:2026/08/31	1
30300568	1		30007:2	100	2016/08/03:2026/08/31	1
30300569	1		30007:2	100	2016/08/03:2026/08/31	1
30300570	1		30007:2	100	2016/08/03:2026/08/31	1
30300571	1		30007:2	100	2016/08/03:2026/08/31	1
30300572	1		30007:2	100	2016/08/03:2026/08/31	1
30300573	1		30007:2	100	2016/08/03:2026/08/31	1
30300574	1		30007:2	100	2016/08/03:2026/08/31	1
30300575	1		30007:2	100	2016/08/03:2026/08/31	1
30300576	1		30007:2	100	2016/08/03:2026/08/31	1
30300577	1		30007:2	100	2016/08/03:2026/08/31	1
30300578	1		30007:2	100	2016/08/03:2026/08/31	1
30300579	1		30007:2	100	2016/08/03:2026/08/31	1
30300580	1		30007:2	100	2016/08/03:2026/08/31	1
30300581	1		30007:2	100	2016/08/03:2026/08/31	1
30300582	1		30007:2	100	2016/08/03:2026/08/31	1
30300583	1		30007:2	100	2016/08/03:2026/08/31	1
30300584	1		30007:2	100	2016/08/03:2026/08/31	1
30300585	1		30007:2	100	2016/08/03:2026/08/31	1
30300586	1		30007:2	100	2016/08/03:2026/08/31	1
30300587	1		30007:2	100	2016/08/03:2026/08/31	1
30300588	1		30007:2	100	2016/08/03:2026/08/31	1
30300589	1		30007:2	100	2016/08/03:2026/08/31	1
30300590	1		30007:2	100	2016/08/03:2026/08/31	1
30300591	1		30007:2	100	2016/08/03:2026/08/31	1
30300592	1		30007:2	100	2016/08/03:2026/08/31	1
30300593	1		30007:2	100	2016/08/03:2026/08/31	1
30300594	1		30007:2	100	2016/08/03:2026/08/31	1
30300595	1		30007:2	100	2016/08/03:2026/08/31	1
30300596	1		30007:2	100	2016/08/03:2026/08/31	1
30300597	1		30007:2	100	2016/08/03:2026/08/31	1
30300598	1		30007:2	100	2016/08/03:2026/08/31	1
30300599	1		30007:2	100	2016/08/03:2026/08/31	1
30300600	1		30007:2	100	2016/08/03:2026/08/31	1
30300601	1		30007:2	100	2016/08/03:2026/08/31	1
30300602	1		30007:2	100	2016/08/03:2026/08/31	1
30300603	1		30007:2	100	2016/08/03:2026/08/31	1
30300604	1		30007:2	100	2016/08/03:2026/08/31	1
30300605	1		30007:2	100	2016/08/03:2026/08/31	1
30300606	1		30007:2	100	2016/08/03:2026/08/31	1
30300607	1		30007:2	100	2016/08/03:2026/08/31	1
30300608	1		30007:2	100	2016/08/03:2026/08/31	1
30300609	1		30007:2	100	2016/08/03:2026/08/31	1
30300610	1		30007:2	100	2016/08/03:2026/08/31	1
30300611	1		30007:2	100	2016/08/03:2026/08/31	1
30300612	1		30007:2	100	2016/08/03:2026/08/31	1
30300613	1		30007:2	100	2016/08/03:2026/08/31	1
30300614	1		30007:2	100	2016/08/03:2026/08/31	1
30300615	1		30007:2	100	2016/08/03:2026/08/31	1
30300616	1		30007:2	100	2016/08/03:2026/08/31	1
30300617	1		30007:2	100	2016/08/03:2026/08/31	1
30300618	1		30007:2	100	2016/08/03:2026/08/31	1
30300619	1		30007:2	100	2016/08/03:2026/08/31	1
30300620	1		30007:2	100	2016/08/03:2026/08/31	1
30300621	1		30007:2	100	2016/08/03:2026/08/31	1
30300622	1		30007:2	100	2016/08/03:2026/08/31	1
30300623	1		30007:2	100	2016/08/03:2026/08/31	1
30300624	1		30007:2	100	2016/08/03:2026/08/31	1
30300625	1		30007:2	100	2016/08/03:2026/08/31	1
30300626	1		30007:2	100	2016/08/03:2026/08/31	1
30300627	1		30007:2	100	2016/08/03:2026/08/31	1
30300628	1		30007:2	100	2016/08/03:2026/08/31	1
30300629	1		30007:2	100	2016/08/03:2026/08/31	1
30300630	1		30007:2	100	2016/08/03:2026/08/31	1
30300631	1		30007:2	100	2016/08/03:2026/08/31	1
30300632	1		30007:2	100	2016/08/03:2026/08/31	1
30300633	1		30007:2	100	2016/08/03:2026/08/31	1
30300634	1		30007:2	100	2016/08/03:2026/08/31	1
30300635	1		30007:2	100	2016/08/03:2026/08/31	1
30300636	1		30007:2	100	2016/08/03:2026/08/31	1
30300637	1		30007:2	100	2016/08/03:2026/08/31	1
30300638	1		30007:2	100	2016/08/03:2026/08/31	1
30300639	1		30007:2	100	2016/08/03:2026/08/31	1
30300640	1		30007:2	100	2016/08/03:2026/08/31	1
30300641	1		30007:2	100	2016/08/03:2026/08/31	1
30300642	1		30007:2	100	2016/08/03:2026/08/31	1
30300643	1		30007:2	100	2016/08/03:2026/08/31	1
30300644	1		30007:2	100	2016/08/03:2026/08/31	1
30300645	1		30007:2	100	2016/08/03:2026/08/31	1
30300646	1		30007:2	100	2016/08/03:2026/08/31	1
30300647	1		30007:2	100	2016/08/03:2026/08/31	1
30300648	1		30007:2	100	2016/08/03:2026/08/31	1
30300649	1		30007:2	100	2016/08/03:2026/08/31	1
30300650	1		30007:2	100	2016/08/03:2026/08/31	1
30300651	1		30007:2	100	2016/08/03:2026/08/31	1
30300652	1		30007:2	100	2016/08/03:2026/08/31	1
30300653	1		30007:2	100	2016/08/03:2026/08/31	1
30300654	1		30007:2	100	2016/08/03:2026/08/31	1
30300655	1		30007:2	100	2016/08/03:2026/08/31	1
30300656	1		30007:2	100	2016/08/03:2026/08/31	1
30300657	1		30007:2	100	2016/08/03:2026/08/31	1
30300658	1		30007:2	100	2016/08/03:2026/08/31	1
30300659	1		30007:2	100	2016/08/03:2026/08/31	1
30300660	1		30007:2	100	2016/08/03:2026/08/31	1
30300661	1		30007:2	100	2016/08/03:2026/08/31	1
30300662	1		30007:2	100	2016/08/03:2026/08/31	1
30300663	1		30007:2	100	2016/08/03:2026/08/31	1
30300664	1		30007:2	100	2016/08/03:2026/08/31	1
30300665	1		30007:2	100	2016/08/03:2026/08/31	1
30300666	1		30007:2	100	2016/08/03:2026/08/31	1
30300667	1		30007:2	100	2016/08/03:2026/08/31	1
30300668	1		30007:2	100	2016/08/03:2026/08/31	1
30300669	1		30007:2	100	2016/08/03:2026/08/31	1
30300670	1		30007:2	100	2016/08/03:2026/08/31	1
30300671	1		30007:2	100	2016/08/03:2026/08/31	1
30300672	1		30007:2	100	2016/08/03:2026/08/31	1
30300673	1		30007:2	100	2016/08/03:2026/08/31	1
30300674	1		30007:2	100	2016/08/03:2026/08/31	1
30300675	1		30007:2	100	2016/08/03:2026/08/31	1
30300676	1		30007:2	100	2016/08/03:2026/08/31	1
30300677	1		30007:2	100	2016/08/03:2026/08/31	1
30300678	1		30007:2	100	2016/08/03:2026/08/31	1
30300679	1		30007:2	100	2016/08/03:2026/08/31	1
30300680	1		30007:2	100	2016/08/03:2026/08/31	1
30300681	1		30007:2	100	2016/08/03:2026/08/31	1
30300682	1		30007:2	100	2016/08/03:2026/08/31	1
30300683	1		30007:2	100	2016/08/03:2026/08/31	1
30300684	1		30007:2	100	2016/08/03:2026/08/31	1
30300685	1		30007:2	100	2016/08/03:2026/08/31	1
30300686	1		30007:2	100	2016/08/03:2026/08/31	1
30300687	1		30007:2	100	2016/08/03:2026/08/31	1
30300688	1		30007:2	100	2016/08/03:2026/08/31	1
30300689	1		30007:2	100	2016/08/03:2026/08/31	1
30300690	1		30007:2	100	2016/08/03:2026/08/31	1
30300691	1		30007:2	100	2016/08/03:2026/08/31	1
30300692	1		30007:2	100	2016/08/03:2026/08/31	1
30300693	1		30007:2	100	2016/08/03:2026/08/31	1
30300694	1		30007:2	100	2016/08/03:2026/08/31	1
30300695	1		30007:2	100	2016/08/03:2026/08/31	1
30300696	1		30007:2	100	2016/08/03:2026/08/31	1
30300697	1		30007:2	100	2016/08/03:2026/08/31	1
30300698	1		30007:2	100	2016/08/03:2026/08/31	1
30300699	1		30007:2	100	2016/08/03:2026/08/31	1
30300700	1		30007:2	100	2016/08/03:2026/08/31	1
30300701	1		30007:2	100	2016/08/03:2026/08/31	1
30300702	1		30007:2	100	2016/08/03:2026/08/31	1
30300703	1		30007:2	100	2016/08/03:2026/08/31	1
30300704	1		30007:2	100	2016/08/03:2026/08/31	1
30300705	1		30007:2	100	2016/08/03:2026/08/31	1
30300706	1		30007:2	100	2016/08/03:2026/08/31	1
30300707	1		30007:2	100	2016/08/03:2026/08/31	1
30300708	1		30007:2	100	2016/08/03:2026/08/31	1
30300709	1		30007:2	100	2016/08/03:2026/08/31	1
30300710	1		30007:2	100	2016/08/03:2026/08/31	1
30300711	1		30007:2	100	2016/08/03:2026/08/31	1
30300712	1		30007:2	100	2016/08/03:2026/08/31	1
30300713	1		30007:2	100	2016/08/03:2026/08/31	1
30300714	1		30007:2	100	2016/08/03:2026/08/31	1
30300715	1		30007:2	100	2016/08/03:2026/08/31	1
30300716	1		30007:2	100	2016/08/03:2026/08/31	1
30300717	1		30007:2	100	2016/08/03:2026/08/31	1
30300718	1		30007:2	100	2016/08/03:2026/08/31	1
30300719	1		30007:2	100	2016/08/03:2026/08/31	1
30300720	1		30007:2	100	2016/08/03:2026/08/31	1
30300721	1		30007:2	100	2016/08/03:2026/08/31	1
30300722	1		30007:2	100	2016/08/03:2026/08/31	1
30300723	1		30007:2	100	2016/08/03:2026/08/31	1
30300724	1		30007:2	100	2016/08/03:2026/08/31	1
30300725	1		30007:2	100	2016/08/03:2026/08/31	1
30300726	1		30007:2	100	2016/08/03:2026/08/31	1
30300727	1		30007:2	100	2016/08/03:2026/08/31	1
30300728	1		30007:2	100	2016/08/03:2026/08/31	1
30300729	1		30007:2	100	2016/08/03:2026/08/31	1
30300730	1		30007:2	100	2016/08/03:2026/08/31	1
30300731	1		30007:2	100	2016/08/03:2026/08/31	1
30300732	1		30007:2	100	2016/08/03:2026/08/31	1
30300733	1		30007:2	100	2016/08/03:2026/08/31	1
30300734	1		30007:2	100	2016/08/03:2026/08/31	1
30300735	1		30007:2	100	2016/08/03:2026/08/31	1
30300736	1		30007:2	100	2016/08/03:2026/08/31	1
30300737	1		30007:2	100	2016/08/03:2026/08/31	1
30300738	1		30007:2	100	2016/08/03:2026/08/31	1
30300739	1		30007:2	100	2016/08/03:2026/08/31	1
30300740	1		30007:2	100	2016/08/03:2026/08/31	1
30300741	1		30007:2	100	2016/08/03:2026/08/31	1
30300742	1		30007:2	100	2016/08/03:2026/08/31	1
30300743	1		30007:2	100	2016/08/03:2026/08/31	1
30300744	1		30007:2	100	2016/08/03:2026/08/31	1
30300745	1		30007:2	100	2016/08/03:2026/08/31	1
30300746	1		30007:2	100	2016/08/03:2026/08/31	1
30300747	1		30007:2	100	2016/08/03:2026/08/31	1
30300748	1		30007:2	100	2016/08/03:2026/08/31	1
30300749	1		30007:2	100	2016/08/03:2026/08/31	1
30300750	1		30007:2	100	2016/08/03:2026/08/31	1
30300751	1		30007:2	100	2016/08/03:2026/08/31	1
30300752	1		30007:2	100	2016/08/03:2026/08/31	1
30300753	1		30007:2	100	2016/08/03:2026/08/31	1
30300754	1		30007:2	100	2016/08/03:2026/08/31	1
30300755	1		30007:2	100	2016/08/03:2026/08/31	1
30300756	1		30007:2	100	2016/08/03:2026/08/31	1
30300757	1		30007:2	100	2016/08/03:2026/08/31	1
30300758	1		30007:2	100	2016/08/03:2026/08/31	1
30300759	1		30007:2	100	2016/08/03:2026/08/31	1
30300760	1		30007:2	100	2016/08/03:2026/08/31	1
30300761	1		30007:2	100	2016/08/03:2026/08/31	1
30300762	1		30007:2	100	2016/08/03:2026/08/31	1
30300763	1		30007:2	100	2016/08/03:2026/08/31	1
30300764	1		30007:2	100	2016/08/03:2026/08/31	1
30300765	1		30007:2	100	2016/08/03:2026/08/31	1
30300766	1		30007:2	100	2016/08/03:2026/08/31	1
30300767	1		30007:2	100	2016/08/03:2026/08/31	1
30300768	1		30007:2	100	2016/08/03:2026/08/31	1
30300769	1		30007:2	100	2016/08/03:2026/08/31	1
30300770	1		30007:2	100	2016/08/03:2026/08/31	1
30300771	1		30007:2	100	2016/08/03:2026/08/31	1
30300772	1		30007:2	100	2016/08/03:2026/08/31	1
30300773	1		30007:2	100	2016/08/03:2026/08/31	1
30300774	1		30007:2	100	2016/08/03:2026/08/31	1
30300775	1		30007:2	100	2016/08/03:2026/08/31	1
30300776	1		30007:2	100	2016/08/03:2026/08/31	1
30300777	1		30007:2	100	2016/08/03:2026/08/31	1
30300778	1		30007:2	100	2016/08/03:2026/08/31	1
30300779	1		30007:2	100	2016/08/03:2026/08/31	1
30300780	1		30007:2	100	2016/08/03:2026/08/31	1
30300781	1		30007:2	100	2016/08/03:2026/08/31	1
30300782	1		30007:2	100	2016/08/03:2026/08/31	1
30300783	1		30007:2	100	2016/08/03:2026/08/31	1
30300784	1		30007:2	100	2016/08/03:2026/08/31	1
30300785	1		30007:2	100	2016/08/03:2026/08/31	1
30300786	1		30007:2	100	2016/08/03:2026/08/31	1
30300787	1		30007:2	100	2016/08/03:2026/08/31	1
30300788	1		30007:2	100	2016/08/03:2026/08/31	1
30300789	1		30007:2	100	2016/08/03:2026/08/31	1
30300790	1		30007:2	100	2016/08/03:2026/08/31	1
30300791	1		30007:2	100	2016/08/03:2026/08/31	1
30300792	1		30007:2	100	2016/08/03:2026/08/31	1
30300793	1		30007:2	100	2016/08/03:2026/08/31	1
30300794	1		30007:2	100	2016/08/03:2026/08/31	1
30300795	1		30007:2	100	2016/08/03:2026/08/31	1
30300796	1		30007:2	100	2016/08/03:2026/08/31	1
30300797	1		30007:2	100	2016/08/03:2026/08/31	1
30300798	1		30007:2	100	2016/08/03:2026/08/31	1
30300799	1		30007:2	100	2016/08/03:2026/08/31	1
30300800	1		30007:2	100	2016/08/03:2026/08/31	1
30300801	1		30007:2	100	2016/08/03:2026/08/31	1
30300802	1		30007:2	100	2016/08/03:2026/08/31	1
30300803	1		30007:2	100	2016/08/03:2026/08/31	1
30300804	1		30007:2	100	2016/08/03:2026/08/31	1
30300805	1		30007:2	100	2016/08/03:2026/08/31	1
30300806	1		30007:2	100	2016/08/03:2026/08/31	1
30300807	1		30007:2	100	2016/08/03:2026/08/31	1
30300808	1		30007:2	100	2016/08/03:2026/08/31	1
30300809	1		30007:2	100	2016/08/03:2026/08/31	1
30300810	1		30007:2	100	2016/08/03:2026/08/31	1
30300811	1		30007:2	100	2016/08/03:2026/08/31	1
30300812	1		30007:2	100	2016/08/03:2026/08/31	1
30300813	1		30007:2	100	2016/08/03:2026/08/31	1
30300814	1		30007:2	100	2016/08/03:2026/08/31	1
30300815	1		30007:2	100	2016/08/03:2026/08/31	1
30300816	1		30007:2	100	2016/08/03:2026/08/31	1
30300817	1		30007:2	100	2016/08/03:2026/08/31	1
30300818	1		30007:2	100	2016/08/03:2026/08/31	1
30300819	1		30007:2	100	2016/08/03:2026/08/31	1
30300820	1		30007:2	100	2016/08/03:2026/08/31	1
30300821	1		30007:2	100	2016/08/03:2026/08/31	1
30300822	1		30007:2	100	2016/08/03:2026/08/31	1
30300823	1		30007:2	100	2016/08/03:2026/08/31	1
30300824	1		30007:2	100	2016/08/03:2026/08/31	1
30300825	1		30007:2	100	2016/08/03:2026/08/31	1
30300826	1		30007:2	100	2016/08/03:2026/08/31	1
30300827	1		30007:2	100	2016/08/03:2026/08/31	1
30300828	1		30007:2	100	2016/08/03:2026/08/31	1
30300829	1		30007:2	100	2016/08/03:2026/08/31	1
30300830	1		30007:2	100	2016/08/03:2026/08/31	1
30300831	1		30007:2	100	2016/08/03:2026/08/31	1
30300832	1		30007:2	100	2016/08/03:2026/08/31	1
30300833	1		30007:2	100	2016/08/03:2026/08/31	1
30300834	1		30007:2	100	2016/08/03:2026/08/31	1
30300835	1		30007:2	100	2016/08/03:2026/08/31	1
30300836	1		30007:2	100	2016/08/03:2026/08/31	1
30300837	1		30007:2	100	2016/08/03:2026/08/31	1
30300838	1		30007:2	100	2016/08/03:2026/08/31	1
30300839	1		30007:2	100	2016/08/03:2026/08/31	1
30300840	1		30007:2	100	2016/08/03:2026/08/31	1
30300841	1		30007:2	100	2016/08/03:2026/08/31	1
30300842	1		30007:2	100	2016/08/03:2026/08/31	1
30300843	1		30007:2	100	2016/08/03:2026/08/31	1
30300844	1		30007:2	100	2016/08/03:2026/08/31	1
30300845	1		30007:2	100	2016/08/03:2026/08/31	1
30300846	1		30007:2	100	2016/08/03:2026/08/31	1
30300847	1		30007:2	100	2016/08/03:2026/08/31	1
30300848	1		30007:2	100	2016/08/03:2026/08/31	1
30300849	1		30007:2	100	2016/08/03:2026/08/31	1
30300850	1		30007:2	100	2016/08/03:2026/08/31	1
30300851	1		30007:2	100	2016/08/03:2026/08/31	1
30300852	1		30007:2	100	2016/08/03:2026/08/31	1
30300853	1		30007:2	100	2016/08/03:2026/08/31	1
30300854	1		30007:2	100	2016/08/03:2026/08/31	1
30300855	1		30007:2	100	2016/08/03:2026/08/31	1
30300856	1		30007:2	100	2016/08/03:2026/08/31	1
30300857	1		30007:2	100	2016/08/03:2026/08/31	1
30300858	1		30007:2	100	2016/08/03:2026/08/31	1
30300859	1		30007:2	100	2016/08/03:2026/08/31	1
30300860	1		30007:2	100	2016/08/03:2026/08/31	1
30300861	1		30007:2	100	2016/08/03:2026/08/31	1
30300862	1		30007:2	100	2016/08/03:2026/08/31	1
30300863	1		30007:2	100	2016/08/03:2026/08/31	1
30300864	1		30007:2	100	2016/08/03:2026/08/31	1
30300865	1		30007:2	100	2016/08/03:2026/08/31	1
30300866	1		30007:2	100	2016/08/03:2026/08/31	1
30300867	1		30007:2	100	2016/08/03:2026/08/31	1
30300868	1		30007:2	100	2016/08/03:2026/08/31	1
30300869	1		30007:2	100	2016/08/03:2026/08/31	1
30300870	1		30007:2	100	2016/08/03:2026/08/31	1
30300871	1		30007:2	100	2016/08/03:2026/08/31	1
30300872	1		30007:2	100	2016/08/03:2026/08/31	1
30300873	1		30007:2	100	2016/08/03:2026/08/31	1
30300874	1		30007:2	100	2016/08/03:2026/08/31	1
30300875	1		30007:2	100	2016/08/03:2026/08/31	1
30300876	1		30007:2	100	2016/08/03:2026/08/31	1
30300877	1		30007:2	100	2016/08/03:2026/08/31	1
30300878	1		30007:2	100	2016/08/03:2026/08/31	1
30300879	1		30007:2	100	2016/08/03:2026/08/31	1
30300880	1		30007:2	100	2016/08/03:2026/08/31	1
30300881	1		30007:2	100	2016/08/03:2026/08/31	1
30300882	1		30007:2	100	2016/08/03:2026/08/31	1
30300883	1		30007:2	100	2016/08/03:2026/08/31	1
30300884	1		30007:2	100	2016/08/03:2026/08/31	1
30300885	1		30007:2	100	2016/08/03:2026/08/31	1
30300886	1		30007:2	100	2016/08/03:2026/08/31	1
30300887	1		30007:2	100	2016/08/03:2026/08/31	1
30300888	1		30007:2	100	2016/08/03:2026/08/31	1
30300889	1		30007:2	100	2016/08/03:2026/08/31	1
30300890	1		30007:2	100	2016/08/03:2026/08/31	1
30300891	1		30007:2	100	2016/08/03:2026/08/31	1
30300892	1		30007:2	100	2016/08/03:2026/08/31	1
30300893	1		30007:2	100	2016/08/03:2026/08/31	1
30300894	1		30007:2	100	2016/08/03:2026/08/31	1
30300895	1		30007:2	100	2016/08/03:2026/08/31	1
30300896	1		30007:2	100	2016/08/03:2026/08/31	1
30300897	1		30007:2	100	2016/08/03:2026/08/31	1
30300898	1		30007:2	100	2016/08/03:2026/08/31	1
30300899	1		30007:2	100	2016/08/03:2026/08/31	1
30300900	1		30007:2	100	2016/08/03:2026/08/31	1
30300901	1		30007:2	100	2016/08/03:2026/08/31	1
30300902	1		30007:2	100	2016/08/03:2026/08/31	1
30300903	1		30007:2	100	2016/08/03:2026/08/31	1
30300904	1		30007:2	100	2016/08/03:2026/08/31	1
30300905	1		30007:2	100	2016/08/03:2026/08/31	1
30300906	1		30007:2	100	2016/08/03:2026/08/31	1
30300907	1		30007:2	100	2016/08/03:2026/08/31	1
30300908	1		30007:2	100	2016/08/03:2026/08/31	1
30300909	1		30007:2	100	2016/08/03:2026/08/31	1
30300910	1		30007:2	100	2016/08/03:2026/08/31	1
30300911	1		30007:2	100	2016/08/03:2026/08/31	1
30300912	1		30007:2	100	2016/08/03:2026/08/31	1
30300913	1		30007:2	100	2016/08/03:2026/08/31	1
30300914	1		30007:2	100	2016/08/03:2026/08/31	1
30300915	1		30007:2	100	2016/08/03:2026/08/31	1
30300916	1		30007:2	100	2016/08/03:2026/08/31	1
30300917	1		30007:2	100	2016/08/03:2026/08/31	1
30300918	1		30007:2	100	2016/08/03:2026/08/31	1
30300919	1		30007:2	100	2016/08/03:2026/08/31	1
30300920	1		30007:2	100	2016/08/03:2026/08/31	1
30300921	1		30007:2	100	2016/08/03:2026/08/31	1
30300922	1		30007:2	100	2016/08/03:2026/08/31	1
30300923	1		30007:2	100	2016/08/03:2026/08/31	1
30300924	1		30007:2	100	2016/08/03:2026/08/31	1
30300925	1		30007:2	100	2016/08/03:2026/08/31	1
30300926	1		30007:2	100	2016/08/03:2026/08/31	1
30300927	1		30007:2	100	2016/08/03:2026/08/31	1
30300928	1		30007:2	100	2016/08/03:2026/08/31	1
30300929	1		30007:2	100	2016/08/03:2026/08/31	1
30300930	1		30007:2	100	2016/08/03:2026/08/31	1
30300931	1		30007:2	100	2016/08/03:2026/08/31	1
30300932	1		30007:2	100	2016/08/03:2026/08/31	1
30300933	1		30007:2	100	2016/08/03:2026/08/31	1
30300934	1		30007:2	100	2016/08/03:2026/08/31	1
30300935	1		30007:2	100	2016/08/03:2026/08/31	1
30300936	1		30007:2	100	2016/08/03:2026/08/31	1
30300937	1		30007:2	100	2016/08/03:2026/08/31	1
30300938	1		30007:2	100	2016/08/03:2026/08/31	1
30300939	1		30007:2	100	2016/08/03:2026/08/31	1
30300940	1		30007:2	100	2016/08/03:2026/08/31	1
30300941	1		30007:2	100	2016/08/03:2026/08/31	1
30300942	1		30007:2	100	2016/08/03:2026/08/31	1
30300943	1		30007:2	100	2016/08/03:2026/08/31	1
30300944	1		30007:2	100	2016/08/03:2026/08/31	1
30300945	1		30007:2	100	2016/08/03:2026/08/31	1
30300946	1		30007:2	100	2016/08/03:2026/08/31	1
30300947	1		30007:2	100	2016/08/03:2026/08/31	1
30300948	1		30007:2	100	2016/08/03:2026/08/31	1
30300949	1		30007:2	100	2016/08/03:2026/08/31	1
30300950	1		30007:2	100	2016/08/03:2026/08/31	1
30300951	1		30007:2	100	2016/08/03:2026/08/31	1
30300952	1		30007:2	100	2016/08/03:2026/08/31	1
30300953	1		30007:2	100	2016/08/03:2026/08/31	1
30300954	1		30007:2	100	2016/08/03:2026/08/31	1
30300955	1		30007:2	100	2016/08/03:2026/08/31	1
30300956	1		30007:2	100	2016/08/03:2026/08/31	1
30300957	1		30007:2	100	2016/08/03:2026/08/31	1
30300958	1		30007:2	100	2016/08/03:2026/08/31	1
30300959	1		30007:2	100	2016/08/03:2026/08/31	1
30300960	1		30007:2	100	2016/08/03:2026/08/31	1
30300961	1		30007:2	100	2016/08/03:2026/08/31	1
30300962	1		30007:2	100	2016/08/03:2026/08/31	1
30300963	1		30007:2	100	2016/08/03:2026/08/31	1
30300964	1		30007:2	100	2016/08/03:2026/08/31	1
30300965	1		30007:2	100	2016/08/03:2026/08/31	1
30300966	1		30007:2	100	2016/08/03:2026/08/31	1
30300967	1		30007:2	100	2016/08/03:2026/08/31	1
30300968	1		30007:2	100	2016/08/03:2026/08/31	1
30300969	1		30007:2	100	2016/08/03:2026/08/31	1
30300970	1		30007:2	100	2016/08/03:2026/08/31	1
30300971	1		30007:2	100	2016/08/03:2026/08/31	1
30300972	1		30007:2	100	2016/08/03:2026/08/31	1
30300973	1		30007:2	100	2016/08/03:2026/08/31	1
30300974	1		30007:2	100	2016/08/03:2026/08/31	1
30300975	1		30007:2	100	2016/08/03:2026/08/31	1
30300976	1		30007:2	100	2016/08/03:2026/08/31	1
30300977	1		30007:2	100	2016/08/03:2026/08/31	1
30300978	1		30007:2	100	2016/08/03:2026/08/31	1
30300979	1		30007:2	100	2016/08/03:2026/08/31	1
30300980	1		30007:2	100	2016/08/03:2026/08/31	1
30300981	1		30007:2	100	2016/08/03:2026/08/31	1
30300982	1		30007:2	100	2016/08/03:2026/08/31	1
30300983	1		30007:2	100	2016/08/03:2026/08/31	1
30300984	1		30007:2	100	2016/08/03:2026/08/31	1
30300985	1		30007:2	100	2016/08/03:2026/08/31	1
30300986	1		30007:2	100	2016/08/03:2026/08/31	1
30300987	1		30007:2	100	2016/08/03:2026/08/31	1
30300988	1		30007:2	100	2016/08/03:2026/08/31	1
30300989	1		30007:2	100	2016/08/03:2026/08/31	1
30300990	1		30007:2	100	2016/08/03:2026/08/31	1
30300991	1		30007:2	100	2016/08/03:2026/08/31	1
30300992	1		30007:2	100	2016/08/03:2026/08/31	1
30300993	1		30007:2	100	2016/08/03:2026/08/31	1
30300994	1		30007:2	100	2016/08/03:2026/08/31	1
30300995	1		30007:2	100	2016/08/03:2026/08/31	1
30300996	1		30007:2	100	2016/08/03:2026/08/31	1
30300997	1		30007:2	100	2016/08/03:2026/08/31	1
30300998	1		30007:2	100	2016/08/03:2026/08/31	1
30300999	1		30007:2	100	2016/08/03:2026/08/31	1
30301000	1		30007:2	100	2016/08/03:2026/08/31	1
30301001	1		30007:2	100	2016/08/03:2026/08/31	1
30301002	1		30007:2	100	2016/08/03:2026/08/31	1
30301003	1		30007:2	100	2016/08/03:2026/08/31	1
