物品ID	物品图标	掉落模型	物品名字	物品类型名称	物品介绍	限制等级	职业限制	物品品质	物品类型	装备部件	打孔器位置	熔炼值	消耗类型	消耗数值	使用CD	购买货币	购买价格	出售价格	最大叠加数	是否可强化	打孔类型	是否可打孔	增加类型1	增加数值1	增加类型2	增加数值2	礼包物品	触发任务ID	装备外观	来源	最小物理攻击	最大物理攻击	最小物理防御	最大物理防御	最小魔法攻击	最大魔法攻击	最小魔法防御	最大魔法防御	最小生命值	最大生命值	最小物理暴击	最大物理暴击	最小魔法暴击	最大魔法暴击	最小物理抗暴击	最大物理抗暴击	最小魔法抗暴击	最大魔法抗暴击	最小格挡率	最大格挡率	最小闪避率	最大闪避率	最小魔法回复率	最大魔法回复率	最小格挡值	最大格挡值	最小命中率	最大命中率	最小血球回复率	最大血球回复率
84002014	iconspGUANG_2.png		光辉14级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002015	iconspGUANG_2.png		光辉15级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002016	iconspGUANG_2.png		光辉16级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002017	iconspGUANG_2.png		光辉17级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002018	iconspGUANG_2.png		光辉18级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002019	iconspGUANG_2.png		光辉19级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84002020	iconspGUANG_2.png		光辉20级	附魔碎片	合成光之附魔所需的第2片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003001	iconspGUANG_3.png		光润1级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1123;1:1192;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003002	iconspGUANG_3.png		光润2级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1192;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003003	iconspGUANG_3.png		光润3级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003004	iconspGUANG_3.png		光润4级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003005	iconspGUANG_3.png		光润5级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003006	iconspGUANG_3.png		光润6级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003007	iconspGUANG_3.png		光润7级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003008	iconspGUANG_3.png		光润8级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003009	iconspGUANG_3.png		光润9级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003010	iconspGUANG_3.png		光润10级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003011	iconspGUANG_3.png		光润11级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003012	iconspGUANG_3.png		光润12级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003013	iconspGUANG_3.png		光润13级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003014	iconspGUANG_3.png		光润14级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003015	iconspGUANG_3.png		光润15级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003016	iconspGUANG_3.png		光润16级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003017	iconspGUANG_3.png		光润17级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003018	iconspGUANG_3.png		光润18级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003019	iconspGUANG_3.png		光润19级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84003020	iconspGUANG_3.png		光润20级	附魔碎片	合成光之附魔所需的第3片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004001	iconspGUANG_4.png		光恒1级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1127;1:1195;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004002	iconspGUANG_4.png		光恒2级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1195;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004003	iconspGUANG_4.png		光恒3级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004004	iconspGUANG_4.png		光恒4级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004005	iconspGUANG_4.png		光恒5级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004006	iconspGUANG_4.png		光恒6级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004007	iconspGUANG_4.png		光恒7级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004008	iconspGUANG_4.png		光恒8级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004009	iconspGUANG_4.png		光恒9级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004010	iconspGUANG_4.png		光恒10级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004011	iconspGUANG_4.png		光恒11级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004012	iconspGUANG_4.png		光恒12级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004013	iconspGUANG_4.png		光恒13级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004014	iconspGUANG_4.png		光恒14级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004015	iconspGUANG_4.png		光恒15级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004016	iconspGUANG_4.png		光恒16级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004017	iconspGUANG_4.png		光恒17级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004018	iconspGUANG_4.png		光恒18级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004019	iconspGUANG_4.png		光恒19级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84004020	iconspGUANG_4.png		光恒20级	附魔碎片	合成光之附魔所需的第4片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005001	iconspGUANG_5.png		光耀1级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1130;1:1198;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005002	iconspGUANG_5.png		光耀2级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1198;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005003	iconspGUANG_5.png		光耀3级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005004	iconspGUANG_5.png		光耀4级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005005	iconspGUANG_5.png		光耀5级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005006	iconspGUANG_5.png		光耀6级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005007	iconspGUANG_5.png		光耀7级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005008	iconspGUANG_5.png		光耀8级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005009	iconspGUANG_5.png		光耀9级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005010	iconspGUANG_5.png		光耀10级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005011	iconspGUANG_5.png		光耀11级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005012	iconspGUANG_5.png		光耀12级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005013	iconspGUANG_5.png		光耀13级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005014	iconspGUANG_5.png		光耀14级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005015	iconspGUANG_5.png		光耀15级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005016	iconspGUANG_5.png		光耀16级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005017	iconspGUANG_5.png		光耀17级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005018	iconspGUANG_5.png		光耀18级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005019	iconspGUANG_5.png		光耀19级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84005020	iconspGUANG_5.png		光耀20级	附魔碎片	合成光之附魔所需的第5片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006001	iconspGUANG_6.png		光云1级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1134;1:1200;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006002	iconspGUANG_6.png		光云2级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1200;3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006003	iconspGUANG_6.png		光云3级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006004	iconspGUANG_6.png		光云4级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006005	iconspGUANG_6.png		光云5级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006006	iconspGUANG_6.png		光云6级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006007	iconspGUANG_6.png		光云7级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006008	iconspGUANG_6.png		光云8级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006009	iconspGUANG_6.png		光云9级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006010	iconspGUANG_6.png		光云10级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006011	iconspGUANG_6.png		光云11级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006012	iconspGUANG_6.png		光云12级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	2	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006013	iconspGUANG_6.png		光云13级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006014	iconspGUANG_6.png		光云14级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006015	iconspGUANG_6.png		光云15级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006016	iconspGUANG_6.png		光云16级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	4	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006017	iconspGUANG_6.png		光云17级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006018	iconspGUANG_6.png		光云18级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006019	iconspGUANG_6.png		光云19级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84006020	iconspGUANG_6.png		光云20级	附魔碎片	合成光之附魔所需的第6片材料。	0	0	5	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85001001	iconspAN_1.png		暗影1级	附魔碎片	合成暗之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	1:1137;3:0020;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85001002	iconspAN_1.png		暗影2级	附魔碎片	合成暗之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0030;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85001003	iconspAN_1.png		暗影3级	附魔碎片	合成暗之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0040;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85001004	iconspAN_1.png		暗影4级	附魔碎片	合成暗之附魔所需的第1片材料。	0	0	0	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0	3:0050;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85001005	iconspAN_1.png		暗影5级	附魔碎片	合成暗之附魔所需的第1片材料。	0	0	1	8	0			0	0	0	0	0	10	999	1			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
