场景ID	场景类型	对应副本ID	开放需求	场景名称	场景介绍	场景名称图片	场景小标题	消耗体力	副本显示物品列表	小怪掉落列表	小怪掉落数量最大限制	小怪概率	boss掉落列表	boss掉落数量限制	boss掉落概率	隐藏boss掉落列表	隐藏boss掉落数量限制	隐藏boss掉落概率	金币掉落数量	金币图标	单个图标数量	翻牌奖励1列表	翻牌奖励2列表	经验奖励	场景地图资源	地图图标	怪物半身像	复活方式	复活坐标X	复活坐标Y	复活朝向	复活倒计时	最低进入等级	最高进入等级	宝石孔位	洗练属性	是否携带小伙伴进入	公共副本	每日限制进入次数	通关次数限制	开启时间	关闭时间	背景音乐	特殊限制	角色尾巴类型	主角阴影类型	怪物阴影类型	场景天气特效	神秘商店出现几率	预防作弊	怪物数量	关卡脚本	大关卡	隐藏关卡进入条件	怪物动画1	缩放1	怪物动画2	缩放2	怪物动画3	缩放3	速度修正比	是否创建炫纹
1171	2	9	1170	关卡171	不死族依然如游魂墓地一样，对所有生者充满怨恨。	font_9.png	第171关	5	72000001;30000003;86001018;	72000001:5:1;30000003:10:1;86001018:1:1;	3:10000;	100							780	drop_money.png	6	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	9_13_zaoze	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	107901	10	copy_1171			monster_016_idle	0.9	monster_013_idle	0.9	monster_005_idle	0.9	1	
1172	2	9	1171	关卡172	比起不死族，猫妖的的攻击更加锐利和致命，小心它们的利爪和尖牙！	font_9.png	第172关	5	73000001;30000004;86001018;	73000001:5:1;30000004:10:1;86001018:1:1;	3:10000;	100							784	drop_money.png	6	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	9_14_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	107902	19	copy_1172			monster_005_idle	0.9	monster_012_idle	0.9	monster_017_idle	0.9	1	
1173	2	9	1172	关卡173	此地异常宁静，难道这就是暴风雨前的宁静？	font_9.png	第173关	5	74000001;30000005;86001018;	74000001:5:1;30000005:10:1;86001018:1:1;	3:10000;	100							788	drop_money.png	6	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	9_15_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108001	10	copy_1173	monster_YL		monster_013_idle	0.9		0.9	monster_017_idle	0.9	1	
1174	4	9	1173	关卡174	糟糕！这次那人不在，血枪手需要你独自一人对付了！	font_9.png	第174关	5	30000007;74000001;91000002;44102008;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:1:125;91000002:1:125;91000002:1:125;41102008:1:165;42102008:1:75;43102008:1:38;44102008:1:10;41202008:1:165;42202008:1:75;43202008:1:38;44202008:1:10;41402008:1:165;42402008:1:75;43402008:1:38;44402008:1:10;41302008:1:165;42302008:1:75;43302008:1:38;44302008:1:10;86001018:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				792	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	9_16_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108002	10	copy_1174			monster_012_idle	0.9	monster_boss_010_idle	0.9	monster_013_idle	0.9	1	
1175	2	9	1174	关卡175	好容易击败了血枪手，总算可以稍作休息。	font_9.png	第175关	5	72000001;30000006;86001018;	72000001:5:1;30000006:10:1;86001018:1:1;	3:10000;	100							796	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	9_17_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108003	10	copy_1175			monster_005_idle	0.9	monster_013_idle	0.9	monster_016_idle	0.9	1	
1176	4	9	1175	关卡176	魔化武尊是打不死的吗？如同小强一样，每次出现都会更强	font_9.png	第176关	5	30000007;74000001;91000002;44105008;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:1:125;91000002:1:125;91000002:1:125;41105008:1:165;42105008:1:75;43105008:1:38;44105008:1:10;41205008:1:165;42205008:1:75;43205008:1:38;44205008:1:10;41405008:1:165;42405008:1:75;43405008:1:38;44405008:1:10;41305008:1:165;42305008:1:75;43305008:1:38;44305008:1:10;86001018:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				800	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_1_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108101	7	copy_1176	monster_YL		monster_boss_003_idle	0.9	monster_012_idle	0.9	monster_017_idle	0.9	1	
1177	2	9	1176	关卡177	鬼火射手善用鬼火攻击，鬼火可燃烧眼前的一切！	font_9.png	第177关	5	72000001;30000001;86001018;	72000001:5:1;30000001:10:1;86001018:1:1;	3:10000;	100							804	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_2_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108201	20	copy_1177			monster_016_idle	0.9	monster_013_idle	0.9	monster_012_idle	0.9	1	
1178	4	9	1177	关卡178	骷髅法师这次干脆复活了血枪手，要与冒险家拼命了！	font_9.png	第178关	5	30000007;74000001;91000002;44103008;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:1:125;91000002:1:125;91000002:1:125;41103008:1:165;42103008:1:75;43103008:1:38;44103008:1:10;41203008:1:165;42203008:1:75;43203008:1:38;44203008:1:10;41403008:1:165;42403008:1:75;43403008:1:38;44403008:1:10;41303008:1:165;42303008:1:75;43303008:1:38;44303008:1:10;86001018:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				808	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_3_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108202	9	copy_1178	monster_YL		monster_017_idle	0.9	monster_boss_010_idle	0.9	monster_013_idle	0.9	1	
1179	2	9	1178	关卡179	总算干掉了骷髅法师，而亡灵之城也即将突破。	font_9.png	第179关	5	73000001;30000002;86001018;	73000001:5:1;30000002:10:1;86001018:1:1;	3:10000;	100							812	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_4_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108203	16	copy_1179			monster_013_idle	0.9	monster_017_idle	0.9	monster_005_idle	0.9	1	
1180	4	9	1179	关卡180	有史以来最难缠的对手们聚集在一起，你的脚步要在此停下么？	font_9.png	第180关	5	30000007;74000001;91000002;44104008;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:1:125;91000002:1:125;91000002:1:125;41104008:1:165;42104008:1:75;43104008:1:38;44104008:1:10;41204008:1:165;42204008:1:75;43204008:1:38;44204008:1:10;41404008:1:165;42404008:1:75;43404008:1:38;44404008:1:10;41304008:1:165;42304008:1:75;43304008:1:38;44304008:1:10;86001018:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				816	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_5_mudi	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108301	3	copy_1180	monster_YL		monster_boss_003_idle	0.9	monster_boss_010_idle	0.9	monster_017_idle	0.9	1	
1181	2	10	1180	关卡181	奇岩荒野之中，牛头怪也常常出没	font_10.png	第181关	5	74000001;30000003;86001018;	74000001:5:1;30000003:10:1;86001018:1:1;	3:10000;	100							836	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_10_huanghun	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108503	20	copy_1181			monster_boss_014_idle	0.9	monster_boss_004_idle	0.9	monster_008_idle	0.9	1	
1182	2	10	1181	关卡182	沙漠飞鹰也是这里绝对的霸主，千万不能小瞧它们！	font_10.png	第182关	5	72000001;30000004;86001018;	72000001:5:1;30000004:10:1;86001018:1:1;	3:10000;	100							840	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_11_huanghun	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108601	14	copy_1182			monster_boss_014_idle	0.9	monster_002_idle	0.9	monster_019_idle	0.9	1	
1183	4	10	1182	关卡183	荒凉而广阔的地方，看来这又是巨人们活动的好场所	font_10.png	第183关	5	30000007;74000001;91000002;44102009;	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:500;71000001:1:500;71000001:1:500;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:1:125;91000002:1:125;91000002:1:125;41102009:1:165;42102009:1:75;43102009:1:38;44102009:1:10;41202009:1:165;42202009:1:75;43202009:1:38;44202009:1:10;41402009:1:165;42402009:1:75;43402009:1:38;44402009:1:10;41302009:1:165;42302009:1:75;43302009:1:38;44302009:1:10;86001018:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				844	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_12_huanghun	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108602	12	copy_1183	monster_JGHL		monster_008_idle	0.9	leg_ui_idle	0.4	monster_015_idle	0.9	1	
1184	2	10	1183	关卡184	炎热的荒漠之中，也总少不了火焰元素的出没	font_10.png	第184关	5	72000001;30000005;86001018;	72000001:5:1;30000005:10:1;86001018:1:1;	3:10000;	100							848	drop_money.png	6	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;73000001:1:2000;73000001:1:2000;73000001:1:2000;73000001:1:2000;74000001:1:1000;74000001:1:1000;74000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;91000001:1:125;91000001:2:125;91000002:1:125;91000002:2:125;70000005:1:300;	75	10_13_huanghun	0	0	0	240	120	0	0	1	100	4	4	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	108701	10	copy_1184			monster_boss_014_idle	0.9	monster_003_idle	1	monster_019_idle	0.9	1	
