怪物ID	对象类型	名称	怪物头像资源	二级名称	外观	血条	闲聊对话	地位	是否稀有	等级	类型	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理暴击	魔法暴击	物理暴击抵抗	魔法暴击抵抗	命中率	闪避率	格挡率	格挡值	职业	经验值	随身BUFF1	随身BUFF2	随身BUFF3	随身BUFF4	随身BUFF5	速度	AI	追踪频率	AI激活距离	出生动作	普通攻击	技能1	技能2	技能3	技能4	技能5	技能6	技能7	技能8	技能9	技能10	技能11	技能12	技能13	技能14	普通攻击权重	技能1权重	技能2权重	技能3权重	技能4权重	技能5权重	技能6权重	技能7权重	技能8权重	技能9权重	起身技能概率	反击技能概率	围绕最小距离	围绕最大距离	获得声望	金币掉落数量限制	道具掉落数量限制	阵营	刷新广播	击杀广播	不被击退	不被击飞	不被打断	攻击强制开始时间	模型大小比例	属性自适应
111303	3	红龙雕像	monster_JGHL.png	0	201014	100	0	1		42	0	84435	9995	5885	9413	6082	0	0	9778	9778	3804	0	0	8000	0	0	0	0	0	0	0	110	202001	700	2048	trap_fireDragon_born	20790001															100	100	200								0	0	700	900		100	1	1			0	0	0	2000	1	0
111401	3	火焰野猪	monster_YZ.png	0	103001	18	0	1		42	0	84435	11253	5890	0	6088	2324	0	9778	9778	3804	0	0	8000	0	0	0	0	0	0	0	110	2001	700	750	monster_020_born	21021001	21021002	21021003								21021004					100	300	0								0	100	150	650		100	3	1			0	0	0	2000	1	0
111402	3	红龙雕像	monster_JGHL.png	0	201014	100	0	1		42	0	84435	10128	5890	9537	6088	0	0	9778	9778	3804	0	0	8000	0	0	0	0	0	0	0	110	202001	700	2048	trap_fireDragon_born	20790001															100	100	200								0	0	700	900		100	1	1			0	0	0	2000	1	0
111403	3	蜘蛛卵	monster_ZZNW.png	0	201015	140	0	0		42	0	1123360	22046	3248	0	3672	2324	0	9778	9778	3804	0	0	8000	0	0	0	0	0	0	0	180	201201	700	950	zhizhuwang_born																800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1.1	0
111404	3	蜘蛛女王	monster_ZZNW.png	0	101201	140	0	0		42	0	1123360	22046	3248	0	3672	2324	0	9778	9778	3804	0	0	8000	0	0	0	0	0	0	0	180	101204	700	950	monster_boss_012_born_1	22012001	22012002	22012003	22012006												800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
111501	3	火焰野猪	monster_YZ.png	0	103001	18	0	2		43	0	58400	9073	5762	0	6036	2530	0	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	110	2001	700	750	monster_020_born	21021001	21021002									21021004					100	300	0								0	0	150	650		100	3	1			0	0	0	2000	1	0
111502	3	炎猫妖	monster_YMY.png	0	103301	22	0	2		43	0	58400	9073	5762	8602	6036	2530	2530	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	300	100301	700	2048	monster_021_born	21103301	21103302	21103303								21103304	21103305	21103306			100	100	0								0	50	250	450		100	1	1			0	0	0	2000	1	0
111503	3	小鹿	monster_LN.png	0	100401	82	0	1		43		87600	0	6652	11432	6858	0	2530	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	110	2001	1100	500	monster_011_born_0	21011001	21011002	21011007								21011005	21011006				200	200	100								0	100	350	500		100	1	1			0	0	0	2000	1	0
111601	3	红龙雕像	monster_JGHL.png	0	201014	100	0	2		43	0	58400	8272	5768	7843	6042	0	0	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	110	202001	700	2048	trap_fireDragon_born	20790001															100	100	200								0	0	700	900		100	1	1			0	0	0	2000	1	0
111602	3	红龙幼崽	monster_FL.png	0	102201	79	0	2		43	0	46720	9191	5768	0	6042	3834	0	10260	10260	4159	0	0	8000	0	0	0	0	0	0	0	250	102202	1000	800	monster_014_born	21014001	21014003														500	200	500								0	0	200	450		100	3	1			0	0	0	2000	1	0
111603	3	炎猫妖	monster_YMY.png	0	103301	22	0	1		43	0	87600	12297	6659	11580	6864	2556	2556	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	300	103302	700	2048	monster_021_born	21103301	21103302	21103303								21103304	21103305	21103306			100	100	0								0	100	250	450		100	1	1			0	0	0	2000	1	0
111701	3	蜘蛛女王	monster_ZZNW.png	0	101201	82	0	1		43	0	87600	12455	6998	0	7215	2581	0	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	180	101204	700	950	monster_boss_012_born_1	22012001	22012002	22012006													800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
111702	3	火焰野猪	monster_YZ.png	0	103001	18	0	1		43	0	87600	12455	6665	0	6871	2581	0	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	110	2001	700	750	monster_020_born	21021001	21021002	21021003								21021004					100	300	0								0	100	150	650		100	3	1			0	0	0	2000	1	0
111703	3	火焰元素	monster_HYJS.png	0	102101	20	0	1		43	0	83220	0	6665	12315	6871	0	2839	10800	10800	4159	0	0	8000	0	0	0	0	0	0	0	155	102102	900	950	monster_019_born_fire	21019001	21019002									21019004	21019005	21019007			100	200									0	100	150	1024		100	3	1			0	0	0	2000	1	0
111801	3	炸弹哥布林	monster_ZDGBL.png	0	102001	19	0	2		44	0	54450	0	6128	9860	6397	0	2388	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	110	102002	1000	500	monster_010_born_0	21010001	21010008									21010007					200	100	0								0	0	500	900		100	1	1			0	0	0	2000	1	0
111802	3	火焰哥布林	monster_GBL.png	0	100102	20	0	2		44	0	60500	9455	6450	0	6734	3980	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_001_red_born_1	21001003	21001014														100	300	0								0	0	80	300		100	1	1			0	0	0	2000	1	0
111803	3	火焰元素	monster_HYJS.png	0	102101	20	0	1		44	0	86213	0	7373	12506	7587	0	2918	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	155	102102	900	950	monster_019_born_fire	21019001	21019002									21019004	21019005	21019007			100	200									0	100	150	1024		100	3	1			0	0	0	2000	1	0
111804	3	炸弹哥布林	monster_ZDGBL.png	0	102001	19	0	2		44	0	54450	0	6128	9860	6397	0	2388	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	110	101702	1000	500	monster_010_born_0	21010001	21010008									21010007					200	100	0								0	0	500	900		100	1	1			0	0	0	2000	1	0
111901	3	蜘蛛卵	monster_ZZNW.png	0	201013	55	0	2		44	0	60500	9575	6779	0	7077	2679	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	180	201201	700	950	zhizhuwang_born																800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	0.8	0
111902	3	红龙雕像	monster_JGHL.png	0	201014	100	0	1		44	0	90750	11526	7381	10855	7594	0	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	110	202001	700	2048	trap_fireDragon_born	20790001															100	100	200								0	0	700	900		100	1	1			0	0	0	2000	1	0
111903	3	蜘蛛女王	monster_ZZNW.png	0	101201	82	0	1		44	0	90750	12807	7750	0	7974	2679	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	180	101204	700	950	monster_boss_012_born_1	22012001	22012002	22012006													800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
111904	3	蜘蛛女王	monster_ZZNW.png	0	101201	82	0	1		44	0	90750	12807	7750	0	7974	2679	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	180	101204	700	950	monster_boss_012_born_1	22012001	22012002	22012003	22012006												800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
112001	3	红龙雕像	monster_JGHL.png	0	201014	100	0	2		44	0	60500	8726	6462	8272	6747	0	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	110	202001	700	2048	trap_fireDragon_born	20790001															100	100	200								0	0	700	900		100	1	1			0	0	0	2000	1	0
112002	3	蜘蛛女王	monster_ZZNW.png	0	101201	82	0	1		44	0	90750	12967	7757	0	7981	2706	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	180	101204	700	950	monster_boss_012_born_1	22012001	22012002	22012003	22012006												800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
112003	3	火焰女巫	monster_HYNW.png	0	101501	151	0	0		44	0	1234210	0	4012	23079	5227	0	2706	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	185	101502	1100	1024	monster_boss_006_born_fire	22015001										22015004	21019007				300	100	200								0	150	800	900		100	1	1			0	0	0	2000	1	0
112101	3	失业拳法家	monster_QF.png	0	103201	10	0	2		44	0	60500	8833	6469	0	6754	2733	0	11449	11449	4373	1000	0	8000	0	0	0	0	0	0	0	300	2001	860	500	monster_qfj_born	23019001	23019002														100	100	0								0	0	400	900		100	1	1			0	0	0	2000	1	0
112102	3	战斗佣兵	monster_ZF.png	0	3016	10	0	2		44	0	60500	9814	6469	0	6754	2733	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	300	30163	800	1024	card_016_born	23017001	23017004														100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
112103	3	哥布林游侠	monster_GBLJY.png	0	102801	1	0	1		44	0	90750	11814	8135	0	8370	2733	0	11449	11449	4373	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002	21018003	21018004							21018005	21018006				100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1.1	0
112201	3	漫游枪手	monster_QK.png	0	2001	20	0	2		45	0	62600	10553	7211	0	7506	2964	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30023	760	800	card_002_born_0	23014001	23014004														100	100	100								0	0	150	650		100	3	1			0	0	0	2000	1	0
112202	3	流浪法师	monster_YSFS.png	0	3017	10	0	2		45	0	62600	0	7211	10005	7506	0	2964	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30173	800	1024	card_017_born	23018001	23018003														100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
112203	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		45	0	89205	14823	8579	0	8391	2371	0	11253	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004							22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
112301	3	落魄剑客	monster_TYJK.png	0	1002	30	0	2		45	0	62600	10682	7218	0	7514	2993	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013004														800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
112302	3	牛头战士	monster_PTNTG.png	0	101901	12	0	1		45	0	114558	14289	8178	0	8399	2095	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008010								21008008	21008005	21008006			100	100	0								0	100	180	750		100	1	1			0	0	0	2000	1.1	0
112303	3	剧毒蝎人	monster_XZN.png	0	100801	151	0	0		45	0	1289620	26032	4826	0	5291	2993	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	130	2002	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007							21002004	21002005				100	0	0								0	150	500	750		100	1	1			0	0	0	2000	1.1	0
112401	3	落魄剑客	monster_TYJK.png	0	1002	30	0	2		45	0	62600	10810	7225	0	7521	3022	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013002														800	400	400	5000							0	50	150	2400		100	3	1			0	0	0	2000	1	0
112402	3	漫游枪手	monster_QK.png	0	2001	20	0	2		45	0	62600	10810	7225	0	7521	3022	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30023	760	800	card_002_born_0	23014001	23014003														100	100	100								0	0	150	650		100	3	1			0	0	0	2000	1	0
112403	3	流浪法师	monster_YSFS.png	0	3017	10	0	1		45	0	93900	0	8186	13619	8407	0	3022	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30173	800	1024	card_017_born	23018001	23018002	23018003													100	100	0								0	100	180	750		100	1	1			0	0	0	2000	1	0
112501	3	失业拳法家	monster_QF.png	0	103201	10	0	2		45	0	62600	9845	7232	0	7528	3051	0	12503	12503	4735	1000	0	8000	0	0	0	0	0	0	0	300	2001	860	500	monster_qfj_born	23019001	23019002														100	100	0								0	0	400	900		100	1	1			0	0	0	2000	1	0
112502	3	战斗佣兵	monster_ZF.png	0	3016	10	0	2		45	0	62600	10939	7232	0	7528	3051	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	300	30163	800	1024	card_016_born	23017001															100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
112503	3	牛头酋长	monster_NTRTZ.png	0	101801	62	0	1		45	0	114558	14633	8194	0	8416	2136	0	12503	12503	4735	0	0	8000	0	0	0	0	0	0	0	125	101802	700	800	monster_boss_004_born_0	22004001	22004002	22004004								22004005	22004008	22004009			100	100	100								0	100	150	650		100	3	1			0	0	0	2000	1.1	0
112601	3	哥布林游侠	monster_GBLJY.png	0	102801	1	0	2		46	0	64710	9992	8711	0	9048	3131	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002														100	300	0								0	0	80	300		100	1	1			0	0	0	2000	1.1	0
112602	3	剧毒蝎人	monster_XZN.png	0	100801	55	0	2		46	0	64710	11102	7919	0	8225	3131	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	130	2001	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007												100	0	0								0	0	500	750		100	1	1			0	0	0	2000	1	0
112603	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		46	0	92212	15591	9359	0	9142	2505	0	11849	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	101101	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
112604	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		46	0	92212	15591	9359	0	9142	2505	0	11849	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born3_atk1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
112701	3	剑气逼人	monster_TYJK.png	0	1002	156	0	0		46	0	1345090	26443	5376	0	5863	3160	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013002	23013003	23013004												800	400	400	5000							0	150	150	2400		100	3	1			0	0	0	2000	1	0
112702	4	冷雾柔	card_pHYR.png	0	3007	22	0	1		46	0	87359	30048	8922	0	9151	6320	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	400	30073	700	500	card_007_born_0	23010001	23010002	23010003	23010004												100	400	100								0	100	175	560		100	1	0			0	0	0	2000	0.9	0
112703	3	漫游枪手	monster_QK.png	0	2001	20	0	1		46	0	97065	15024	8922	0	9151	3160	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	30023	760	800	card_002_born_0	23014001	23014005	23014004													100	100	100								0	100	150	650		100	3	1			0	0	0	2000	1	0
112704	4	神秘高手	monster_ZDGBL.png	0	100071	8	0	2		46	0	58239	0	7531	11715	7821	0	2844	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	1	1000	500	jmx_008_idle	21010001															200	100	0								0	0	500	900		100	1	0			0	0	0	2000	1	0
112801	3	哥布林游侠	monster_GBLJY.png	0	102801	1	0	2		46	0	64710	10228	8727	0	9065	3190	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018003														100	300	0								0	0	80	300		100	1	1			0	0	0	2000	1.1	0
112802	3	牛头战士	monster_PTNTG.png	0	101901	12	0	2		46	0	78946	11364	7934	0	8241	2233	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008010									21008008					100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1.1	0
112803	3	流浪法师	monster_YSFS.png	0	3017	10	0	1		46	0	97065	0	8930	14313	9160	0	3190	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	30173	800	1024	card_017_born	23018001	23018004	23018002													100	100	0								0	100	180	750		100	1	1			0	0	0	2000	1	0
112901	3	落魄剑客	monster_TYJK.png	0	1002	30	0	2		46	0	64710	11494	7942	0	8249	3220	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013004														800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
112902	3	战斗佣兵	monster_ZF.png	0	3016	10	0	2		46	0	64710	11494	7942	0	8249	3220	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	300	30163	800	1024	card_016_born	23017001	23017004														100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
112903	3	剧毒蝎人	monster_XZN.png	0	100801	55	0	1		46	0	97065	15373	8939	0	9169	3220	0	13165	13165	4951	0	0	8000	0	0	0	0	0	0	0	130	2001	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007							21002004	21002005				100	0	0								0	100	500	750		100	1	1			0	0	0	2000	1.1	0
113001	3	堕落盗贼	monster_XJL.png	0	100201	21	0	1		47	0	100230	16483	9726	0	10461	3481	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	135	2001	700	2500	monster_003_born_1	21003001	21003002	21003005								21003009	21003010				200	200	100								0	100	650	800		100	1	1			0	0	0	2000	1.2	0
113002	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		47	0	95219	17307	10212	0	9963	2785	0	12753	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004							22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
113003	3	哥布林游侠	monster_GBLJY.png	0	102801	162	0	0		47	0	1400490	25540	6590	0	7147	3481	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	160	2002	400	1024	monster_018_born	21018001	21018002	21018003	21018004							21018005	21018006				100	300	0								0	150	80	300		100	1	1			0	0	0	2000	1.1	0
113101	3	堕落盗贼	monster_XJL.png	0	100201	21	0	2		47	0	66820	12463	8705	0	9473	3513	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	135	2001	700	2500	monster_003_born_1	21003001	21003002														200	200	100								0	0	650	800		100	1	1			0	0	0	2000	1.2	0
113102	3	牛头战士	monster_PTNTG.png	0	101901	12	0	2		47	0	81520	12463	8705	0	9022	2459	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008010								21008008					100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1.1	0
113103	3	落魄剑客	monster_TYJK.png	0	1002	30	0	1		47	0	100230	16671	9735	0	9973	3513	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013004														800	400	400	5000							0	100	150	2400		100	3	1			0	0	0	2000	1	0
113201	3	流浪法师	monster_YSFS.png	0	3017	10	0	2		47	0	66820	0	8714	11948	9031	0	3546	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	30173	800	1024	card_017_born	23018001	23018003														100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
113202	3	战斗佣兵	monster_ZF.png	0	3016	10	0	2		47	0	66820	12603	8714	0	9031	3546	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	30163	800	1024	card_016_born	23017001	23017002														100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
113203	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		47	0	95219	17701	10232	0	9983	2837	0	12753	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	101101	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
113204	3	职业杀手	monster_MHWZ.png	0	101101	39	0	1		47	0	95219	17701	10232	0	9983	2837	0	12753	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born3_atk1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	100	200	450		100	3	1			0	0	0	2000	0.9	0
113301	3	漫游枪手	monster_QK.png	0	2001	20	0	2		47	0	66820	12743	8722	0	9039	3578	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	300	30023	760	800	card_002_born_0	23014001	23014002														100	100	100								0	0	150	650		100	3	1			0	0	0	2000	1	0
113302	3	失业拳法家	monster_QF.png	0	103201	10	0	2		47	0	66820	11469	8722	0	9039	3578	0	14170	14170	5321	1000	0	8000	0	0	0	0	0	0	0	300	2001	860	500	monster_qfj_born	23019001	23019002	23019003													100	100	0								0	0	400	900		100	1	1			0	0	0	2000	1	0
113303	3	堕落盗贼	monster_XJL.png	0	100201	21	0	1		47	0	100230	17045	9754	0	10492	3578	0	14170	14170	5321	0	0	8000	0	0	0	0	0	0	0	135	2001	700	2500	monster_003_born_1	21003001	21003002	21003005								21003009	21003010				200	200	100								0	100	650	800		100	1	1			0	0	0	2000	1.2	0
113401	3	剧毒蝎人	monster_XZN.png	0	100801	55	0	2		48	0	68920	12926	9419	0	9747	3668	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	130	2001	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007												100	0	0								0	0	500	750		100	1	1			0	0	0	2000	1	0
113402	3	哥布林游侠	monster_GBLJY.png	0	102801	1	0	1		48	0	103380	15558	11532	0	11803	3668	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002	21018004								21018005	21018006				100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1.1	0
113403	3	职业杀手	monster_MHWZ.png	0	101101	159	0	0		48	0	1383143	30249	6879	0	7079	2934	0	13283	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	101101	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	150	200	450		100	3	1			0	0	0	2000	0.9	0
113404	3	职业杀手	monster_MHWZ.png	0	101101	159	0	0		48	0	1383143	30249	6879	0	7079	2934	0	13283	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born3_atk1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	150	200	450		100	3	1			0	0	0	2000	0.9	0
113501	3	牛头战士	monster_PTNTG.png	0	101901	12	0	2		48	0	84082	13068	9429	0	9756	2591	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	145	2001	1100	1024	monster_008_dash	21008001	21008002	21008010								21008008					100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1.1	0
113502	3	牛头酋长	monster_NTRTZ.png	0	101801	62	0	1		48	0	126124	17477	10494	0	10740	2591	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	125	101802	700	800	monster_boss_004_born_0	22004001	22004003	22004004								22004005	22004008	22004009			100	100	100								0	100	150	650		100	3	1			0	0	0	2000	1.1	0
113503	3	剧毒蝎人	monster_XZN.png	0	100801	55	0	1		48	0	103380	17477	10494	0	10740	3701	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	130	2001	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007							21002004	21002005				100	0	0								0	100	500	750		100	1	1			0	0	0	2000	1.1	0
113601	3	落魄剑客	monster_TYJK.png	0	1002	30	0	2		48	0	68920	13210	9438	0	9766	3735	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	30013	850	950	card_001_born_0	23013001	23013002														800	400	400	5000							0	0	150	2400		100	3	1			0	0	0	2000	1	0
113602	3	漫游枪手	monster_QK.png	0	2001	20	0	2		48	0	68920	13210	9438	0	9766	3735	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	30023	760	800	card_002_born_0	23014001	23014002														100	100	100								0	0	150	650		100	3	1			0	0	0	2000	1	0
113603	3	失业拳法家	monster_QF.png	0	103201	10	0	2		48	0	68920	11889	9438	0	9766	3735	0	14759	14759	5538	1000	0	8000	0	0	0	0	0	0	0	300	2001	860	500	monster_qfj_born	23019001	23019002														100	100	0								0	0	400	900		100	1	1			0	0	0	2000	1	0
113701	3	战斗佣兵	monster_ZF.png	0	3016	10	0	1		48	0	103380	17857	10514	0	10761	3768	0	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	30163	800	1024	card_016_born	23017001	23017002	23017004													100	100	0								0	100	180	750		100	1	1			0	0	0	2000	1	0
113702	3	流浪法师	monster_YSFS.png	0	3017	10	0	1		48	0	103380	0	10514	16817	10761	0	3768	14759	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	30173	800	1024	card_017_born	23018001	23018004	23018003													100	100	0								0	100	180	750		100	1	1			0	0	0	2000	1	0
113703	3	职业杀手	monster_MHWZ.png	0	101101	164	0	0		48	0	1383143	30286	6891	0	7091	3014	0	13283	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	101101	800	800	monster_boss_003_born_1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	150	200	450		100	3	1			0	0	0	2000	0.9	0
113704	3	职业杀手	monster_MHWZ.png	0	101101	164	0	0		48	0	1383143	30286	6891	0	7091	3014	0	13283	14759	5538	0	0	8000	0	0	0	0	0	0	0	300	101102	800	800	monster_boss_003_born3_atk1	22003001	22003002	22003003	22003004	22003012						22003006	22003007	22003014			100	100	100								0	150	200	450		100	3	1			0	0	0	2000	0.9	0
113801	3	堕落盗贼	monster_XJL.png	0	100201	21	0	2		49	0	71030	14275	10216	0	11082	4061	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	135	2001	700	2500	monster_003_born_1	21003001	21003004														200	200	100								0	0	650	800		100	1	1			0	0	0	2000	1.2	0
113802	3	哥布林游侠	monster_GBLJY.png	0	102801	1	0	1		49	0	106545	17185	12448	0	12727	4061	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018003	21018004								21018005	21018006				100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1.1	0
113803	3	剧毒蝎人	monster_XZN.png	0	100801	55	0	1		49	0	106545	19094	11316	0	11570	4061	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	130	2001	800	2000	monster_002_born_0	21002001	21002002	21002006	21002007							21002004	21002005				100	0	0								0	100	500	750		100	1	1			0	0	0	2000	1.1	0
113901	3	堕落盗贼	monster_XJL.png	0	100201	21	0	2		49	0	71030	14427	10226	0	11092	4097	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	135	2001	700	2500	monster_003_born_1	21003001	21003004														200	200	100								0	0	650	800		100	1	1			0	0	0	2000	1.2	0
113902	3	牛头酋长	monster_NTRTZ.png	0	101801	62	0	1		49	0	129985	19297	11327	0	11581	2868	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	125	101802	700	800	monster_boss_004_born_0	22004001	22004002	22004004								22004005	22004008	22004009			100	100	100								0	100	150	650		100	3	1			0	0	0	2000	1.1	0
113903	3	角斗先锋	monster_JDS.png	0	102901	17	0	1		49	0	101218	21227	11327	0	11581	3482	0	15787	15787	5916	0	0	8000	0	0	0	0	0	0	0	300	102901	700	500	monster_boss_015_born	21020001	21020002	21020004								21020005					100	400	100								0	100	175	560		100	1	1			0	0	0	2000	0.9	0
