技能唯一ID	技能类型	动画资源名	图标	技能名称	释放距离X	释放纵深	职业所属	等级	开启等级	前置技能	前置技能等级	所需金币	材料1	材料1数量	材料2	材料2数量	品质	冷却	物理伤害比例	魔法伤害比例	物理固定伤害	魔法固定伤害	物理暴击值	魔法暴击值	命中值	技能消耗能量	技能说明	天赋预览	伤害类型	其他属性计算
30042006	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	6	21	0	0	0	71000001	76	72000001	46	0	20000	10300	10300	3645	3645	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]103%+3645[txt:size=18 color=white]点物理伤害；103%+3645[txt:size=18 color=white]点魔法伤害。		0	0
30042007	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	7	22	0	0	0	71000001	88	72000001	54	0	20000	10350	10350	4253	4253	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]103.5%+4253[txt:size=18 color=white]点物理伤害；103.5%+4253[txt:size=18 color=white]点魔法伤害。		0	0
30042008	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	8	22	0	0	0	71000001	101	72000001	62	0	20000	10410	10410	4860	4860	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]104.1%+4860[txt:size=18 color=white]点物理伤害；104.1%+4860[txt:size=18 color=white]点魔法伤害。		0	0
30042009	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	9	23	0	0	0	71000001	114	72000001	69	0	20000	10460	10460	5468	5468	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]104.6%+5468[txt:size=18 color=white]点物理伤害；104.6%+5468[txt:size=18 color=white]点魔法伤害。		0	0
30042010	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	10	23	0	0	0	71000001	126	72000001	77	0	20000	10510	10510	6075	6075	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]105.1%+6075[txt:size=18 color=white]点物理伤害；105.1%+6075[txt:size=18 color=white]点魔法伤害。		0	0
30042011	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	11	24	0	0	0	72000001	85	73000001	43	0	20000	10560	10560	6683	6683	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]105.6%+6683[txt:size=18 color=white]点物理伤害；105.6%+6683[txt:size=18 color=white]点魔法伤害。		0	0
30042012	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	12	24	0	0	0	72000001	92	73000001	47	0	20000	10610	10610	7290	7290	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]106.1%+7290[txt:size=18 color=white]点物理伤害；106.1%+7290[txt:size=18 color=white]点魔法伤害。		0	0
30042013	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	13	25	0	0	0	72000001	100	73000001	51	0	20000	10660	10660	7898	7898	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]106.6%+7898[txt:size=18 color=white]点物理伤害；106.6%+7898[txt:size=18 color=white]点魔法伤害。		0	0
30042014	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	14	25	0	0	0	72000001	107	73000001	55	0	20000	10710	10710	8505	8505	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]107.1%+8505[txt:size=18 color=white]点物理伤害；107.1%+8505[txt:size=18 color=white]点魔法伤害。		0	0
30042015	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	15	26	0	0	0	72000001	115	73000001	59	0	20000	10760	10760	9113	9113	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]107.6%+9113[txt:size=18 color=white]点物理伤害；107.6%+9113[txt:size=18 color=white]点魔法伤害。		0	0
30042016	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	16	26	0	0	0	72000001	123	73000001	63	0	20000	10810	10810	9720	9720	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]108.1%+9720[txt:size=18 color=white]点物理伤害；108.1%+9720[txt:size=18 color=white]点魔法伤害。		0	0
30042017	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	17	27	0	0	0	72000001	130	73000001	66	0	20000	10860	10860	10328	10328	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]108.6%+10328[txt:size=18 color=white]点物理伤害；108.6%+10328[txt:size=18 color=white]点魔法伤害。		0	0
30042018	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	18	27	0	0	0	72000001	138	73000001	70	0	20000	10910	10910	10935	10935	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]109.1%+10935[txt:size=18 color=white]点物理伤害；109.1%+10935[txt:size=18 color=white]点魔法伤害。		0	0
30042019	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	19	28	0	0	0	72000001	146	73000001	74	0	20000	10960	10960	11543	11543	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]109.6%+11543[txt:size=18 color=white]点物理伤害；109.6%+11543[txt:size=18 color=white]点魔法伤害。		0	0
30042020	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	20	28	0	0	0	72000001	153	73000001	78	0	20000	11010	11010	12150	12150	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]110.1%+12150[txt:size=18 color=white]点物理伤害；110.1%+12150[txt:size=18 color=white]点魔法伤害。		0	0
30042021	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	21	29	0	0	0	73000001	82	74000001	54	0	20000	11060	11060	12758	12758	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]110.6%+12758[txt:size=18 color=white]点物理伤害；110.6%+12758[txt:size=18 color=white]点魔法伤害。		0	0
30042022	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	22	29	0	0	0	73000001	86	74000001	56	0	20000	11110	11110	13365	13365	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]111.1%+13365[txt:size=18 color=white]点物理伤害；111.1%+13365[txt:size=18 color=white]点魔法伤害。		0	0
30042023	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	23	30	0	0	0	73000001	90	74000001	59	0	20000	11160	11160	13973	13973	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]111.6%+13973[txt:size=18 color=white]点物理伤害；111.6%+13973[txt:size=18 color=white]点魔法伤害。		0	0
30042024	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	24	30	0	0	0	73000001	94	74000001	61	0	20000	11220	11220	14580	14580	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]112.2%+14580[txt:size=18 color=white]点物理伤害；112.2%+14580[txt:size=18 color=white]点魔法伤害。		0	0
30042025	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	25	31	0	0	0	73000001	98	74000001	64	0	20000	11270	11270	15188	15188	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]112.7%+15188[txt:size=18 color=white]点物理伤害；112.7%+15188[txt:size=18 color=white]点魔法伤害。		0	0
30042026	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	26	31	0	0	0	73000001	101	74000001	66	0	20000	11320	11320	15795	15795	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]113.2%+15795[txt:size=18 color=white]点物理伤害；113.2%+15795[txt:size=18 color=white]点魔法伤害。		0	0
30042027	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	27	32	0	0	0	73000001	105	74000001	69	0	20000	11370	11370	16403	16403	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]113.7%+16403[txt:size=18 color=white]点物理伤害；113.7%+16403[txt:size=18 color=white]点魔法伤害。		0	0
30042028	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	28	32	0	0	0	73000001	109	74000001	71	0	20000	11420	11420	17010	17010	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]114.2%+17010[txt:size=18 color=white]点物理伤害；114.2%+17010[txt:size=18 color=white]点魔法伤害。		0	0
30042029	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	29	33	0	0	0	73000001	113	74000001	74	0	20000	11470	11470	17618	17618	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]114.7%+17618[txt:size=18 color=white]点物理伤害；114.7%+17618[txt:size=18 color=white]点魔法伤害。		0	0
30042030	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	30	33	0	0	0	73000001	117	74000001	76	0	20000	11520	11520	18225	18225	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]115.2%+18225[txt:size=18 color=white]点物理伤害；115.2%+18225[txt:size=18 color=white]点魔法伤害。		0	0
30042031	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	31	34	0	0	0	74000001	79	75000001	39	0	20000	11570	11570	18833	18833	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]115.7%+18833[txt:size=18 color=white]点物理伤害；115.7%+18833[txt:size=18 color=white]点魔法伤害。		0	0
30042032	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	32	34	0	0	0	74000001	81	75000001	40	0	20000	11620	11620	19440	19440	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]116.2%+19440[txt:size=18 color=white]点物理伤害；116.2%+19440[txt:size=18 color=white]点魔法伤害。		0	0
30042033	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	33	35	0	0	0	74000001	84	75000001	41	0	20000	11670	11670	20048	20048	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]116.7%+20048[txt:size=18 color=white]点物理伤害；116.7%+20048[txt:size=18 color=white]点魔法伤害。		0	0
30042034	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	34	35	0	0	0	74000001	86	75000001	42	0	20000	11720	11720	20655	20655	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]117.2%+20655[txt:size=18 color=white]点物理伤害；117.2%+20655[txt:size=18 color=white]点魔法伤害。		0	0
30042035	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	35	36	0	0	0	74000001	89	75000001	44	0	20000	11770	11770	21263	21263	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]117.7%+21263[txt:size=18 color=white]点物理伤害；117.7%+21263[txt:size=18 color=white]点魔法伤害。		0	0
30042036	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	36	36	0	0	0	74000001	91	75000001	45	0	20000	11820	11820	21870	21870	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]118.2%+21870[txt:size=18 color=white]点物理伤害；118.2%+21870[txt:size=18 color=white]点魔法伤害。		0	0
30042037	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	37	37	0	0	0	74000001	94	75000001	46	0	20000	11870	11870	22478	22478	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]118.7%+22478[txt:size=18 color=white]点物理伤害；118.7%+22478[txt:size=18 color=white]点魔法伤害。		0	0
30042038	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	38	37	0	0	0	74000001	96	75000001	47	0	20000	11920	11920	23085	23085	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]119.2%+23085[txt:size=18 color=white]点物理伤害；119.2%+23085[txt:size=18 color=white]点魔法伤害。		0	0
30042039	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	39	38	0	0	0	74000001	99	75000001	49	0	20000	11970	11970	23693	23693	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]119.7%+23693[txt:size=18 color=white]点物理伤害；119.7%+23693[txt:size=18 color=white]点魔法伤害。		0	0
30042040	2	card_001_skill3	item_skill_0910.png	冲刺撞击	400	35	12	40	38	0	0	0	74000001	102	75000001	50	0	20000	12030	12030	24300	24300	0	0	0	40	[txt:size=18 color=white]冲撞敌人后单手挥剑上挑，使其浮空。[r]造成[txt:size=18 color=green]120.3%+24300[txt:size=18 color=white]点物理伤害；120.3%+24300[txt:size=18 color=white]点魔法伤害。		0	0
30051000	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。		0	0
30051001	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	1	6	0	0	0	71000001	9	72000001	5	0	10000	10020	10020	389	389	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]100.2%+389[txt:size=18 color=white]点物理伤害；100.2%+389[txt:size=18 color=white]点魔法伤害。		0	0
30051002	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	2	6	0	0	0	71000001	17	72000001	10	0	10000	10040	10040	778	778	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]100.4%+778[txt:size=18 color=white]点物理伤害；100.4%+778[txt:size=18 color=white]点魔法伤害。		0	0
30051003	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	3	7	0	0	0	71000001	25	72000001	15	0	10000	10060	10060	1166	1166	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]100.6%+1166[txt:size=18 color=white]点物理伤害；100.6%+1166[txt:size=18 color=white]点魔法伤害。		0	0
30051004	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	4	7	0	0	0	71000001	33	72000001	20	0	10000	10080	10080	1555	1555	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]100.8%+1555[txt:size=18 color=white]点物理伤害；100.8%+1555[txt:size=18 color=white]点魔法伤害。		0	0
30051005	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	5	8	0	0	0	71000001	41	72000001	25	0	10000	10100	10100	1944	1944	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]101%+1944[txt:size=18 color=white]点物理伤害；101%+1944[txt:size=18 color=white]点魔法伤害。		0	0
30051006	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	6	8	0	0	0	71000001	49	72000001	30	0	10000	10120	10120	2333	2333	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]101.2%+2333[txt:size=18 color=white]点物理伤害；101.2%+2333[txt:size=18 color=white]点魔法伤害。		0	0
30051007	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	7	9	0	0	0	71000001	57	72000001	35	0	10000	10140	10140	2722	2722	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]101.4%+2722[txt:size=18 color=white]点物理伤害；101.4%+2722[txt:size=18 color=white]点魔法伤害。		0	0
30051008	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	8	9	0	0	0	71000001	65	72000001	40	0	10000	10160	10160	3110	3110	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]101.6%+3110[txt:size=18 color=white]点物理伤害；101.6%+3110[txt:size=18 color=white]点魔法伤害。		0	0
30051009	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	9	10	0	0	0	71000001	73	72000001	45	0	10000	10180	10180	3499	3499	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]101.8%+3499[txt:size=18 color=white]点物理伤害；101.8%+3499[txt:size=18 color=white]点魔法伤害。		0	0
30051010	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	10	10	0	0	0	71000001	81	72000001	50	0	10000	10200	10200	3888	3888	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]102%+3888[txt:size=18 color=white]点物理伤害；102%+3888[txt:size=18 color=white]点魔法伤害。		0	0
30051011	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	11	11	0	0	0	71000001	89	72000001	55	0	10000	10220	10220	4277	4277	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]102.2%+4277[txt:size=18 color=white]点物理伤害；102.2%+4277[txt:size=18 color=white]点魔法伤害。		0	0
30051012	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	12	12	0	0	0	71000001	97	72000001	59	0	10000	10240	10240	4666	4666	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]102.4%+4666[txt:size=18 color=white]点物理伤害；102.4%+4666[txt:size=18 color=white]点魔法伤害。		0	0
30051013	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	13	13	0	0	0	71000001	106	72000001	64	0	10000	10260	10260	5054	5054	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]102.6%+5054[txt:size=18 color=white]点物理伤害；102.6%+5054[txt:size=18 color=white]点魔法伤害。		0	0
30051014	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	14	14	0	0	0	71000001	114	72000001	69	0	10000	10280	10280	5443	5443	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]102.8%+5443[txt:size=18 color=white]点物理伤害；102.8%+5443[txt:size=18 color=white]点魔法伤害。		0	0
30051015	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	15	15	0	0	0	71000001	122	72000001	74	0	10000	10300	10300	5832	5832	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]103%+5832[txt:size=18 color=white]点物理伤害；103%+5832[txt:size=18 color=white]点魔法伤害。		0	0
30051016	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	16	16	0	0	0	71000001	130	72000001	79	0	10000	10320	10320	6221	6221	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]103.2%+6221[txt:size=18 color=white]点物理伤害；103.2%+6221[txt:size=18 color=white]点魔法伤害。		0	0
30051017	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	17	17	0	0	0	71000001	138	72000001	84	0	10000	10340	10340	6610	6610	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]103.4%+6610[txt:size=18 color=white]点物理伤害；103.4%+6610[txt:size=18 color=white]点魔法伤害。		0	0
30051018	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	18	18	0	0	0	71000001	146	72000001	89	0	10000	10360	10360	6998	6998	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]103.6%+6998[txt:size=18 color=white]点物理伤害；103.6%+6998[txt:size=18 color=white]点魔法伤害。		0	0
30051019	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	19	19	0	0	0	71000001	154	72000001	94	0	10000	10380	10380	7387	7387	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]103.8%+7387[txt:size=18 color=white]点物理伤害；103.8%+7387[txt:size=18 color=white]点魔法伤害。		0	0
30051020	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	20	20	0	0	0	71000001	162	72000001	99	0	10000	10400	10400	7776	7776	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]104%+7776[txt:size=18 color=white]点物理伤害；104%+7776[txt:size=18 color=white]点魔法伤害。		0	0
30051021	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	21	21	0	0	0	72000001	104	73000001	53	0	10000	10420	10420	8165	8165	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]104.2%+8165[txt:size=18 color=white]点物理伤害；104.2%+8165[txt:size=18 color=white]点魔法伤害。		0	0
30051022	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	22	22	0	0	0	72000001	109	73000001	55	0	10000	10440	10440	8554	8554	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]104.4%+8554[txt:size=18 color=white]点物理伤害；104.4%+8554[txt:size=18 color=white]点魔法伤害。		0	0
30051023	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	23	23	0	0	0	72000001	113	73000001	58	0	10000	10460	10460	8942	8942	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]104.6%+8942[txt:size=18 color=white]点物理伤害；104.6%+8942[txt:size=18 color=white]点魔法伤害。		0	0
30051024	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	24	24	0	0	0	72000001	118	73000001	60	0	10000	10480	10480	9331	9331	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]104.8%+9331[txt:size=18 color=white]点物理伤害；104.8%+9331[txt:size=18 color=white]点魔法伤害。		0	0
30051025	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	25	25	0	0	0	72000001	123	73000001	63	0	10000	10500	10500	9720	9720	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105%+9720[txt:size=18 color=white]点物理伤害；105%+9720[txt:size=18 color=white]点魔法伤害。		0	0
30051026	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	26	26	0	0	0	72000001	128	73000001	65	0	10000	10510	10510	10109	10109	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105.1%+10109[txt:size=18 color=white]点物理伤害；105.1%+10109[txt:size=18 color=white]点魔法伤害。		0	0
30051027	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	27	27	0	0	0	72000001	133	73000001	68	0	10000	10530	10530	10498	10498	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105.3%+10498[txt:size=18 color=white]点物理伤害；105.3%+10498[txt:size=18 color=white]点魔法伤害。		0	0
30051028	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	28	28	0	0	0	72000001	138	73000001	70	0	10000	10550	10550	10886	10886	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105.5%+10886[txt:size=18 color=white]点物理伤害；105.5%+10886[txt:size=18 color=white]点魔法伤害。		0	0
30051029	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	29	29	0	0	0	72000001	143	73000001	73	0	10000	10570	10570	11275	11275	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105.7%+11275[txt:size=18 color=white]点物理伤害；105.7%+11275[txt:size=18 color=white]点魔法伤害。		0	0
30051030	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	30	30	0	0	0	72000001	148	73000001	75	0	10000	10590	10590	11664	11664	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]105.9%+11664[txt:size=18 color=white]点物理伤害；105.9%+11664[txt:size=18 color=white]点魔法伤害。		0	0
30051031	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	31	31	0	0	0	73000001	78	74000001	51	0	10000	10610	10610	12053	12053	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]106.1%+12053[txt:size=18 color=white]点物理伤害；106.1%+12053[txt:size=18 color=white]点魔法伤害。		0	0
30051032	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	32	32	0	0	0	73000001	80	74000001	52	0	10000	10630	10630	12442	12442	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]106.3%+12442[txt:size=18 color=white]点物理伤害；106.3%+12442[txt:size=18 color=white]点魔法伤害。		0	0
30051033	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	33	33	0	0	0	73000001	83	74000001	54	0	10000	10650	10650	12830	12830	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]106.5%+12830[txt:size=18 color=white]点物理伤害；106.5%+12830[txt:size=18 color=white]点魔法伤害。		0	0
30051034	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	34	34	0	0	0	73000001	85	74000001	56	0	10000	10670	10670	13219	13219	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]106.7%+13219[txt:size=18 color=white]点物理伤害；106.7%+13219[txt:size=18 color=white]点魔法伤害。		0	0
30051035	1	card_001_skill4	item_skill_1510.png	回身斩	350	35	13	35	35	0	0	0	73000001	88	74000001	57	0	10000	10690	10690	13608	13608	0	0	0	20	[txt:size=18 color=white]原地转身发动攻击，劈中敌人并将其击飞。[r]造成[txt:size=18 color=green]106.9%+13608[txt:size=18 color=white]点物理伤害；106.9%+13608[txt:size=18 color=white]点魔法伤害。		0	0
