俱乐部id	俱乐部名称	俱乐部按钮图标	俱乐部动画标志	俱乐部等级	玩家等级段	单人赛出场卡牌	多人赛队长1号位	多人赛2号位	多人赛3号位	4积分宝箱	组数1	8积分宝箱	组数2	12积分宝箱	组数3	宝石孔位	洗练属性	俱乐部权重	俱乐部出现位置	俱乐部星级	包含关卡id	个人赛1星时间	个人赛2星时间	个人赛3星时间	团队赛1星时间	团队赛2星时间	团队赛3星时间	产出卡牌
202502	虚无	team_02.png	iconClubXX.png	25	25:29;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;42203005:200;	41203105:10000;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;42203005:200;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;42203005:200;	20011020;20011020;20012000;20015010;20015010;20216010;	1:7870;2:1500;3:400;4:230;	20021020;20021020;20022000;20025010;20025010;20226010;	1:4680;2:3500;3:1500;4:320;	20031020;20031020;20032000;20035010;20035010;20236010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
202503	马刺	team_07.png	iconClubXX.png	25	25:29;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;54102005:200;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;52302105:200;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;54102005:200;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;54102005:200;	20011020;20011020;20012000;20015010;20015010;	1:7870;2:1500;3:400;4:230;	20021020;20021020;20022000;20025010;20025010;	1:4680;2:3500;3:1500;4:320;	20031020;20031020;20032000;20035010;20035010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
102501	传奇	team_11.png	iconClubXX.png	25	25:29;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;41306105:200;	41306105:10000;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
102502	无极	team_14.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	32005105:10000;	31304005:10000;	21202005:1400;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1600;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
102503	穿天	team_10.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
102504	雄华	team_16.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
102505	倾贺	team_09.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2012	6000000	60000	30000	6000000	60000	30000	11099;
102506	重律	team_21.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2014	6000000	60000	30000	6000000	60000	30000	11099;
102507	诛仙	team_17.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2020	6000000	60000	30000	6000000	60000	30000	11099;
102508	夕火	team_12.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2021	6000000	60000	30000	6000000	60000	30000	11099;
102509	时光	team_20.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2023	6000000	60000	30000	6000000	60000	30000	11099;
102510	玄奇	team_18.png	iconClubXX.png	25	25:29;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	21202005:1600;21303005:1400;12002005:1400;21302005:1400;21102005:1400;22103005:1400;12102005:1400;	10011020;10011020;10012000;10015010;10015010;	1:9340;2:500;3:100;4:60;	10021020;10021020;10022000;10025010;10025010;	1:7750;2:1500;3:500;4:250;	10031020;10031020;10032000;10035010;10035010;	1:5910;2:2500;3:1000;4:590;	0	0	500	1:2:3:4:5;	1	2024	6000000	60000	30000	6000000	60000	30000	11099;
303001	天河	iconClubLY.png	iconClubXX.png	30	30:34;	31002006:6000;21202006:300;21303006:300;12002006:300;21302006:300;21102006:300;22103006:300;12102006:300;51005006:950;31008006:950;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	51005106:10000;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
303002	天药	iconClubWC.png	iconClubXX.png	30	30:34;	21202006:200;21303006:200;12002006:200;21302006:200;21102006:200;22103006:200;12102006:200;51006006:5000;32104006:3600;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	51006106:10000;	32104006:10000;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;30216010;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;30226010;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;30236010;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
303003	荣星	iconClubXX.png	iconClubXX.png	30	30:34;	43102006:1400;44003006:1400;24004006:1400;11007006:1400;12003006:1400;22004006:1000;42006006:1000;41103006:500;32005006:500;	22004006:10000;	44003006:10000;	43102006:10000;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;30316010;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;30326010;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;30336010;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
303004	醉花	team_06.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2005	6000000	60000	30000	6000000	60000	30000	31099;21099;
303005	兵王	iconClubBT.png	iconClubXX.png	30	30:34;	53002006:6000;52205006:1000;32202006:3000;	53002106:10000;	52205006:400;32202006:500;21202006:1300;21303006:1300;12002006:1300;21302006:1300;21102006:1300;22103006:1300;12102006:1300;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2001	6000000	60000	30000	6000000	60000	30000	31099;21099;
303006	凛冽	team_04.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	43202006:10000;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;30616010;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;30626010;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;30636010;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2009	6000000	60000	30000	6000000	60000	30000	43202;31099;21099;
303007	往生	iconClubLH.png	iconClubXX.png	30	30:34;	21202006:500;21303006:500;12002006:500;21302006:500;21102006:500;22103006:500;12102006:500;54002006:6500;	54002106:10000;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	30011030;30011030;30012000;30015010;30015010;30013025;30017025;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023025;30027025;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033025;30037025;	1:650;2:2500;3:5500;4:1350;	4	0	105	1:2:3:4:5;	3	2002	6000000	60000	30000	6000000	60000	30000	31099;21099;
203001	斩魄	team_08.png	iconClubXX.png	30	30:34;	21202006:1300;21303006:1300;12002006:1300;21302006:1300;21102006:1300;22103006:1300;12102006:1300;41103006:900;	41103106:10000;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	20011030;20011030;20012000;20015010;20015010;30017025;20116010;	1:7870;2:1500;3:400;4:230;	20021030;20021030;20022000;20025010;20025010;20023025;30027025;20126010;	1:4680;2:3500;3:1500;4:320;	20031030;20031030;20032000;20035010;20035010;20033025;30037025;20136010;	1:2600;2:4500;3:2000;4:900;	4	0	500	1:2:3:4:5;	2	2010	6000000	60000	30000	6000000	60000	30000	41103;21099;11099;
203002	虚无	team_02.png	iconClubXX.png	30	30:34;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;42203006:200;	41203106:10000;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;42203006:200;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;42203006:200;	20011030;20011030;20012000;20015010;20015010;20017025;20216010;	1:7870;2:1500;3:400;4:230;	20021030;20021030;20022000;20025010;20025010;20023025;20027025;20226010;	1:4680;2:3500;3:1500;4:320;	20031030;20031030;20032000;20035010;20035010;20033025;20037025;20236010;	1:2600;2:4500;3:2000;4:900;	4	0	500	1:2:3:4:5;	2	2006	6000000	60000	30000	6000000	60000	30000	41203;21099;11099;
203003	马刺	team_07.png	iconClubXX.png	30	30:34;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;54102006:200;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;52302106:200;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;54102006:200;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;54102006:200;	20011030;20011030;20012000;20015010;20015010;20017025;	1:7870;2:1500;3:400;4:230;	20021030;20021030;20022000;20025010;20025010;20023025;20027025;	1:4680;2:3500;3:1500;4:320;	20031030;20031030;20032000;20035010;20035010;20033025;20037025;	1:2600;2:4500;3:2000;4:900;	4	0	500	1:2:3:4:5;	2	2008	6000000	60000	30000	6000000	60000	30000	21099;11099;
103001	传奇	team_11.png	iconClubXX.png	30	30:34;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;41306106:200;	41306106:10000;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;20017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;20027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;20037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2017	6000000	60000	30000	6000000	60000	30000	11099;
103002	无极	team_14.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	32005106:10000;	31304006:10000;	21202006:1400;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1600;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2022	6000000	60000	30000	6000000	60000	30000	11099;
103003	穿天	team_10.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2015	6000000	60000	30000	6000000	60000	30000	11099;
103004	雄华	team_16.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2011	6000000	60000	30000	6000000	60000	30000	11099;
103005	倾贺	team_09.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2012	6000000	60000	30000	6000000	60000	30000	11099;
103006	重律	team_21.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2014	6000000	60000	30000	6000000	60000	30000	11099;
103007	诛仙	team_17.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2020	6000000	60000	30000	6000000	60000	30000	11099;
103008	夕火	team_12.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2021	6000000	60000	30000	6000000	60000	30000	11099;
103009	时光	team_20.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2023	6000000	60000	30000	6000000	60000	30000	11099;
103010	玄奇	team_18.png	iconClubXX.png	30	30:34;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	21202006:1600;21303006:1400;12002006:1400;21302006:1400;21102006:1400;22103006:1400;12102006:1400;	10011030;10011030;10012000;10015010;10015010;10017025;	1:9340;2:500;3:100;4:60;	10021030;10021030;10022000;10025010;10025010;10027025;	1:7750;2:1500;3:500;4:250;	10031030;10031030;10032000;10035010;10035010;10033025;10037025;	1:5910;2:2500;3:1000;4:590;	4	0	500	1:2:3:4:5;	1	2024	6000000	60000	30000	6000000	60000	30000	11099;
303501	天河	iconClubLY.png	iconClubXX.png	35	35:39;	31002007:6000;21202007:300;21303007:300;12002007:300;21302007:300;21102007:300;22103007:300;12102007:300;51005007:950;31008007:950;	21202007:1400;21303007:1400;12002007:1400;21302007:1400;21102007:1400;22103007:1400;12102007:1600;	51005107:10000;	21202007:1400;21303007:1400;12002007:1400;21302007:1400;21102007:1400;22103007:1400;12102007:1600;	30011030;30011030;30012000;30015010;30015010;30013030;30017025;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023030;30027025;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033030;30037025;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
303502	天药	iconClubWC.png	iconClubXX.png	35	35:39;	21202007:200;21303007:200;12002007:200;21302007:200;21102007:200;22103007:200;12102007:200;51006007:5000;32104007:3600;	21202007:1400;21303007:1400;12002007:1400;21302007:1400;21102007:1400;22103007:1400;12102007:1600;	51006107:10000;	32104007:10000;	30011030;30011030;30012000;30015010;30015010;30013030;30017025;30216010;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023030;30027025;30226010;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033030;30037025;30236010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
303503	荣星	iconClubXX.png	iconClubXX.png	35	35:39;	43102007:1400;44003007:1400;24004007:1400;11007007:1400;12003007:1400;22004007:1000;42006007:1000;41103007:500;32005007:500;	22004007:10000;	44003007:10000;	43102007:10000;	30011030;30011030;30012000;30015010;30015010;30013030;30017025;30316010;	1:6850;2:2000;3:700;4:450;	30021030;30021030;30022000;30025010;30025010;30023030;30027025;30326010;	1:2000;2:4000;3:3500;4:500;	30031030;30031030;30032000;30035010;30035010;30033030;30037025;30336010;	1:650;2:2500;3:5500;4:1350;	4	4	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
